powerInW,timeInMinutes
890.0,0
934.0,1
987.0,2
1027.0,3
1054.0,4
1071.0,5
1056.0,6
1062.0,7
1057.0,8
1047.0,9
1049.0,10
1044.0,11
1034.0,12
1045.0,13
1044.0,14
1020.0,15
1032.0,16
1042.0,17
1028.0,18
1037.0,19
1047.0,20
1021.0,21
1032.0,22
1030.0,23
1043.0,24
1020.0,25
1032.0,26
1048.0,27
1031.0,28
1017.0,29
1023.0,30
1038.0,31
1050.0,32
1013.0,33
1032.0,34
1035.0,35
1046.0,36
1024.0,37
1044.0,38
1009.0,39
1033.0,40
1027.0,41
1044.0,42
1027.0,43
1032.0,44
1036.0,45
1015.0,46
1028.0,47
1047.0,48
1028.0,49
1047.0,50
1025.0,51
1040.0,52
1022.0,53
1038.0,54
1019.0,55
1031.0,56
1004.0,57
1033.0,58
1034.0,59
1032.0,60
1023.0,61
1032.0,62
1018.0,63
1036.0,64
1010.0,65
1033.0,66
1022.0,67
1018.0,68
1031.0,69
1018.0,70
1030.0,71
1019.0,72
1032.0,73
1036.0,74
1015.0,75
1029.0,76
1018.0,77
1036.0,78
1035.0,79
1024.0,80
1027.0,81
1023.0,82
1029.0,83
1034.0,84
1027.0,85
1035.0,86
1033.0,87
1015.0,88
1033.0,89
1019.0,90
1038.0,91
1035.0,92
1024.0,93
1034.0,94
1032.0,95
1013.0,96
1030.0,97
1038.0,98
1030.0,99
1039.0,100
1029.0,101
1037.0,102
1021.0,103
1033.0,104
1031.0,105
1017.0,106
1028.0,107
1016.0,108
1028.0,109
1016.0,110
1026.0,111
1034.0,112
1011.0,113
1015.0,114
1038.0,115
1010.0,116
1037.0,117
1005.0,118
1040.0,119
1013.0,120
1019.0,121
1036.0,122
1022.0,123
1009.0,124
1013.0,125
1031.0,126
143.0,127
143.0,128
143.0,129
976.0,130
1025.0,131
1052.0,132
1056.0,133
1048.0,134
