powerInW,timeInMinutes
55.5,0
93.25,1
93.67,2
93.0,3
93.22,4
92.89,5
92.89,6
92.89,7
93.0,8
92.62,9
92.67,10
92.5,11
92.0,12
92.56,13
92.11,14
92.0,15
92.0,16
92.25,17
92.44,18
92.22,19
92.22,20
92.11,21
92.56,22
92.22,23
92.25,24
92.0,25
91.89,26
91.67,27
92.11,28
92.44,29
92.22,30
92.11,31
92.0,32
92.0,33
92.11,34
92.11,35
92.0,36
92.22,37
91.89,38
91.89,39
92.25,40
92.0,41
92.22,42
92.11,43
91.11,44
92.11,45
92.11,46
91.88,47
91.89,48
92.22,49
92.11,50
90.44,51
91.78,52
91.89,53
91.89,54
92.0,55
92.0,56
90.56,57
91.56,58
91.67,59
91.67,60
91.56,61
91.7,62
91.88,63
91.78,64
91.67,65
91.78,66
91.67,67
91.67,68
91.78,69
91.67,70
91.62,71
92.0,72
92.22,73
91.78,74
91.67,75
91.78,76
57.1,77
91.89,78
92.0,79
91.44,80
91.67,81
91.33,82
90.56,83
90.22,84
90.33,85
74.12,86
