powerInW,timeInMinutes
2261.0,0
2221.0,1
2208.0,2
2220.0,3
2221.0,4
2229.0,5
2169.0,6
2184.0,7
62.0,8
71.0,9
62.0,10
71.0,11
88.0,12
73.0,13
86.0,14
88.0,15
114.0,16
26.0,17
81.0,18
2223.0,19
2157.0,20
2164.0,21
2152.0,22
70.0,23
66.0,24
70.0,25
87.0,26
74.0,27
85.0,28
82.0,29
81.0,30
87.0,31
70.0,32
70.0,33
2165.0,34
2162.0,35
2176.0,36
2158.0,37
2172.0,38
2177.0,39
2166.0,40
2176.0,41
2169.0,42
76.0,43
85.0,44
79.0,45
82.0,46
87.0,47
67.0,48
70.0,49
67.0,50
70.0,51
67.0,52
67.0,53
70.0,54
66.0,55
70.0,56
67.0,57
71.0,58
67.0,59
70.0,60
67.0,61
71.0,62
67.0,63
70.0,64
67.0,65
71.0,66
67.0,67
71.0,68
67.0,69
71.0,70
82.0,71
71.0,72
71.0,73
71.0,74
86.0,75
77.0,76
74.0,77
72.0,78
73.0,79
83.0,80
71.0,81
71.0,82
164.0,83
28.0,84
39.0,85
61.0,86
26.0,87
81.0,88
73.0,89
74.0,90
69.0,91
66.0,92
61.0,93
27.0,94
175.0,95
62.0,96
70.0,97
61.0,98
70.0,99
69.0,100
26.0,101
22.0,102
2267.0,103
2187.0,104
2185.0,105
2175.0,106
2184.0,107
2176.0,108
2181.0,109
2187.0,110
2183.0,111
2168.0,112
2172.0,113
2168.0,114
2178.0,115
2175.0,116
2161.0,117
0.0,118
0.0,119
0.0,120
26.0,121
