powerInW,timeInMinutes
2576.67,0
2576.5,1
2558.33,2
2571.38,3
2595.44,4
2586.11,5
1673.88,6
2587.67,7
2580.56,8
2573.25,9
2567.22,10
2580.78,11
1612.2,12
2256.25,13
2569.33,14
2568.89,15
2562.75,16
2575.22,17
1779.11,18
2564.75,19
2560.78,20
156.67,21
156.75,22
148.1,23
39.33,24
0.0,25
912.33,26
2566.78,27
2576.62,28
2582.33,29
2586.89,30
2566.0,31
1765.67,32
2569.0,33
2568.0,34
2577.78,35
2574.11,36
2561.12,37
2016.11,38
2539.89,39
2565.5,40
2575.33,41
2292.89,42
159.78,43
148.44,44
1227.0,45
2542.62,46
2549.22,47
2575.89,48
2587.62,49
2046.56,50
2583.0,51
2560.62,52
2292.56,53
2568.22,54
2566.38,55
2004.89,56
2584.22,57
1369.12,58
162.33,59
162.44,60
162.44,61
147.38,62
2034.78,63
2570.11,64
2573.0,65
2569.0,66
2565.33,67
2258.38,68
1762.33,69
162.11,70
161.5,71
162.33,72
162.44,73
469.62,74
2566.89,75
2545.0,76
2553.75,77
2564.78,78
2549.33,79
1939.5,80
950.44,81
140.17,82
