powerInW,timeInMinutes
125.83,0
103.0,1
103.56,2
104.44,3
112.5,4
112.67,5
112.67,6
112.44,7
112.44,8
112.0,9
111.67,10
111.33,11
111.33,12
111.11,13
110.88,14
110.22,15
109.22,16
109.11,17
108.22,18
107.38,19
107.11,20
106.78,21
106.0,22
105.22,23
105.0,24
104.25,25
103.89,26
103.67,27
102.44,28
102.33,29
101.88,30
101.22,31
101.0,32
100.44,33
100.4,34
99.5,35
99.11,36
99.2,37
98.44,38
98.56,39
97.88,40
98.0,41
97.44,42
97.33,43
97.11,44
97.0,45
96.6,46
96.56,47
96.0,48
96.56,49
96.0,50
95.44,51
95.89,52
95.11,53
95.11,54
95.0,55
94.78,56
79.5,57
