powerInW,timeInMinutes
1619.0,0
1585.0,1
1587.0,2
1584.0,3
1592.0,4
1592.0,5
1592.0,6
1594.0,7
1591.0,8
1606.0,9
1607.0,10
1629.0,11
1625.0,12
1628.0,13
1627.0,14
1638.0,15
60.0,16
1613.0,17
1585.0,18
61.0,19
61.0,20
1617.0,21
1620.0,22
62.0,23
1659.0,24
1618.0,25
61.0,26
61.0,27
1584.0,28
60.0,29
59.0,30
1605.0,31
1581.0,32
59.0,33
60.0,34
1600.0,35
1603.0,36
60.0,37
60.0,38
1576.0,39
60.0,40
62.0,41
1669.0,42
1628.0,43
61.0,44
61.0,45
1658.0,46
1624.0,47
60.0,48
61.0,49
1660.0,50
1620.0,51
61.0,52
61.0,53
