powerInW,timeInMinutes
99.1,0
2345.9,1
2294.3,2
2319.5,3
1701.0,4
140.1,5
86.5,6
76.5,7
97.3,8
134.4,9
104.9,10
53.8,11
96.9,12
125.3,13
9.3,14
123.2,15
109.6,16
18.0,17
41.2,18
114.8,19
93.6,20
61.7,21
171.5,22
25.11,23
15.56,24
156.3,25
146.4,26
65.8,27
125.44,28
177.8,29
274.64,30
403.44,31
388.2,32
7.1,33
0.7,34
0.0,35
0.0,36
47.6,37
1244.8,38
2372.8,39
2382.12,40
2319.5,41
2335.78,42
383.38,43
119.2,44
115.45,45
70.7,46
107.9,47
90.2,48
90.67,49
173.5,50
15.2,51
11.4,52
133.4,53
76.11,54
9.0,55
223.5,56
96.4,57
82.0,58
175.1,59
16.0,60
66.7,61
93.6,62
48.38,63
107.57,64
146.0,65
221.7,66
357.7,67
462.8,68
171.8,69
1.0,70
0.0,71
0.0,72
0.0,73
31.2,74
595.5,75
2401.4,76
2378.43,77
2372.67,78
1710.1,79
192.2,80
108.67,81
183.33,82
152.0,83
136.3,84
88.1,85
63.0,86
88.5,87
58.3,88
161.4,89
14.25,90
43.33,91
156.3,92
40.1,93
9.2,94
163.5,95
91.5,96
78.6,97
87.62,98
161.11,99
61.7,100
16.0,101
149.62,102
103.38,103
55.7,104
162.0,105
246.3,106
419.4,107
507.38,108
213.8,109
