timeInMinutes,powerInW
 0,1.7
1,8.2
2,8.7
3,79.5
4,59.8
5,67.1
6,67.1
7,65.4
8,65.4
 9,65.1
10,63.5
 11,56.9
 12,68.3
 13,57.1
 14,13.3
 15,8.9
 16,66.7
 17,83.3
 18,2105.3
 19,2105.3
20,2076.1
21,2076.1
22,2076.1
23,2076.1
24,2076.1
25,2076.1
26,2076.1
27,2076.1
 28,2076.1
29,2076.1
30,2076.1
31,65.7
32,64.9
33,65.2
34,59.3
35,2059.8
36,65.5
37,58.8
38,66.4
39,66.4
40,66.4
41,66.4
42,66.4
43,66.4
44,66.4
45,60.4
46,65.8
47,74.4
48,70.8
49,69.5
50,59.6
51,68.0
 52,68.6
53,60.1
54,61.0
55,60.1
56,58.1
57,59.3
58,59.8
59,64.4
60,67.6
61,73.1
62,71.3
63,65.4
64,67.0
65,75.5
66,72.9
67,74.6
68,72.8
69,67.3
70,64.2
71,72.5
72,57.5
73,72.7
 74,66.7
75,57.3
76,58.5
77,73.5
78,72.0
79,57.3
80,57.0
 81,58.8
 82,65.8
83,66.3
 84,66.1
85,64.6
86,56.4
87,2.1
88,12.3
89,8.3
 90,28.0
91,2.1
 92,8.3
93,64.6
94,57.4
 95,2170.1
 96,2170.1
97,2170.1
98,2170.1
 99,2170.1
100,2170.1
 101,2170.1
102,61.5
103,73.1
104,57.1
 105,57.7
 106,2139.5
107,2139.5
108,2139.5
 109,2139.5
 110,2139.5
 111,2139.5
112,832.3
113,2141.2
 114,57.7
115,55.7
116,15.1
 117,11.5
118,2.3
