timeInMinutes,powerInW
0,11.8
1,26.3
2,15.1
3,19.6
4,366.20
5,296.20
6,296.20
7,296.20
8,309.00
9,309.00
10,309.00
11,309.00
12,309.00
13,309.00
14,309.00
15,317.20
16,317.20
17,317.20
18,322.00
19,324.60
20,324.60
21,324.60
22,324.60
23,324.60
24,324.60
25,324.60
26,339.70
27,336.70
28,336.70
29,336.70
30,336.70
31,336.70
32,336.70
33,336.70
34,336.70
35,336.70
36,336.70
37,336.70
38,336.70
39,336.70
40,336.70
41,336.70
42,336.70
43,336.70
44,336.70
45,336.70
46,336.70
47,387.30
48,387.30
49,387.30
50,387.30
51,387.30
52,387.30
53,387.30
54,387.30
55,387.30
56,387.30
57,387.30
58,387.30
59,387.30
60,387.30
61,387.30
62,387.30
63,387.30
64,387.30
65,387.30
66,387.30
67,387.30
68,387.30
69,387.30
70,387.30
71,387.30
72,387.30
73,387.30
74,387.30
75,387.30
76,387.30
77,387.30
78,387.30
79,387.30
80,387.30
81,446.30
82,446.30
83,446.30
84,446.30
85,446.30
86,446.30
87,446.30
88,446.30
89,446.30
90,446.30
91,446.30
92,446.30
93,446.30
94,446.30
95,446.30
96,446.30
97,446.30
98,446.30
99,446.30
100,446.30
101,446.30
102,446.30
103,446.30
104,446.30
105,446.30
106,446.30
107,446.30
108,446.30
109,446.30
110,446.30
111,446.30
112,446.30
113,446.30
114,446.30
115,446.30
116,446.30
117,446.30
118,446.30
119,446.30
120,446.30
121,446.30
122,446.30
123,446.30
124,446.30
125,446.30
126,446.30
127,446.30
128,446.30
129,446.30
130,446.30
131,446.30
132,446.30
133,446.30
134,446.30
135,446.30
136,446.30
137,446.30
138,446.30
139,446.30
140,446.30
141,439.20
142,439.20
143,439.20
144,439.20
145,439.20
146,439.20
147,439.20
148,439.20
149,439.20
150,439.20
151,439.20
152,3.2
