powerInW,timeInMinutes
720.0,0
800.0,1
1200.0,2
1080.0,3
1080.0,4
1440.0,5
1080.0,6
1440.0,7
1440.0,8
1440.0,9
1440.0,10
1600.0,11
1440.0,12
1440.0,13
1080.0,14
1440.0,15
1080.0,16
1440.0,17
1440.0,18
1440.0,19
1080.0,20
1440.0,21
1080.0,22
1440.0,23
1440.0,24
1080.0,25
1440.0,26
1200.0,27
1440.0,28
1080.0,29
1440.0,30
1440.0,31
981.82,32
1440.0,33
1080.0,34
1600.0,35
1080.0,36
1440.0,37
1440.0,38
1080.0,39
1440.0,40
1200.0,41
1440.0,42
1600.0,43
1080.0,44
1440.0,45
1440.0,46
1200.0,47
1600.0,48
1309.09,49
981.82,50
1600.0,51
1200.0,52
981.82,53
1309.09,54
1200.0,55
1200.0,56
1309.09,57
1309.09,58
981.82,59
1080.0,60
1440.0,61
1440.0,62
1600.0,63
1600.0,64
1080.0,65
1080.0,66
1600.0,67
1600.0,68
1080.0,69
1200.0,70
1200.0,71
1440.0,72
1600.0,73
1080.0,74
1309.09,75
1600.0,76
1200.0,77
1080.0,78
1440.0,79
1440.0,80
1080.0,81
1440.0,82
1440.0,83
1440.0,84
1080.0,85
1080.0,86
1440.0,87
1440.0,88
1080.0,89
1440.0,90
1440.0,91
1080.0,92
1080.0,93
981.82,94
1440.0,95
1600.0,96
1440.0,97
1440.0,98
1440.0,99
1080.0,100
1080.0,101
1080.0,102
1080.0,103
1440.0,104
1440.0,105
1440.0,106
1440.0,107
1440.0,108
1080.0,109
1080.0,110
1080.0,111
1080.0,112
1080.0,113
1080.0,114
1440.0,115
1440.0,116
1440.0,117
1440.0,118
1440.0,119
1080.0,120
1080.0,121
1080.0,122
1080.0,123
1080.0,124
1080.0,125
1440.0,126
1440.0,127
1600.0,128
1600.0,129
1600.0,130
1440.0,131
1440.0,132
1440.0,133
1080.0,134
1080.0,135
1080.0,136
1080.0,137
1080.0,138
1080.0,139
1080.0,140
1080.0,141
1080.0,142
1080.0,143
1080.0,144
1080.0,145
1080.0,146
1080.0,147
1440.0,148
1440.0,149
1440.0,150
1440.0,151
1440.0,152
1080.0,153
1080.0,154
1080.0,155
1080.0,156
1080.0,157
1080.0,158
1080.0,159
1080.0,160
1080.0,161
1080.0,162
1440.0,163
1440.0,164
1440.0,165
1440.0,166
1440.0,167
1440.0,168
1440.0,169
1440.0,170
1440.0,171
1440.0,172
1440.0,173
1440.0,174
1080.0,175
1080.0,176
1080.0,177
1080.0,178
1080.0,179
1080.0,180
1080.0,181
1440.0,182
1440.0,183
1440.0,184
1440.0,185
1440.0,186
1080.0,187
1080.0,188
1080.0,189
1080.0,190
1080.0,191
1440.0,192
1440.0,193
1080.0,194
1080.0,195
1440.0,196
1440.0,197
1080.0,198
1080.0,199
1080.0,200
1440.0,201
1440.0,202
1080.0,203
1080.0,204
1440.0,205
1080.0,206
1080.0,207
1440.0,208
1080.0,209
1080.0,210
1440.0,211
1080.0,212
1440.0,213
1080.0,214
1080.0,215
1440.0,216
1080.0,217
1440.0,218
1080.0,219
1080.0,220
1440.0,221
1080.0,222
1440.0,223
1080.0,224
1080.0,225
1440.0,226
1080.0,227
1440.0,228
1440.0,229
1080.0,230
1440.0,231
1080.0,232
1080.0,233
1440.0,234
1080.0,235
1080.0,236
1440.0,237
1440.0,238
1080.0,239
1080.0,240
1440.0,241
1440.0,242
1440.0,243
1080.0,244
1440.0,245
1080.0,246
1080.0,247
1440.0,248
1080.0,249
1440.0,250
1080.0,251
1440.0,252
1080.0,253
1440.0,254
1080.0,255
1440.0,256
1080.0,257
1440.0,258
1080.0,259
1440.0,260
1080.0,261
1440.0,262
1080.0,263
1440.0,264
1440.0,265
1080.0,266
1080.0,267
1080.0,268
1080.0,269
1440.0,270
1080.0,271
1440.0,272
1080.0,273
1440.0,274
1080.0,275
1080.0,276
1440.0,277
1080.0,278
1440.0,279
1080.0,280
1080.0,281
1440.0,282
1080.0,283
1440.0,284
1080.0,285
1440.0,286
1080.0,287
1440.0,288
1080.0,289
1080.0,290
1440.0,291
1080.0,292
1440.0,293
1080.0,294
1080.0,295
1440.0,296
1080.0,297
1440.0,298
1080.0,299
1440.0,300
1080.0,301
1440.0,302
1440.0,303
1080.0,304
1440.0,305
1080.0,306
1080.0,307
1440.0,308
1080.0,309
1080.0,310
1440.0,311
1080.0,312
1080.0,313
1440.0,314
1080.0,315
1080.0,316
1440.0,317
1080.0,318
1440.0,319
1440.0,320
1080.0,321
1440.0,322
1440.0,323
1080.0,324
1080.0,325
1440.0,326
1080.0,327
1080.0,328
1440.0,329
981.82,330
1080.0,331
1440.0,332
1080.0,333
1080.0,334
1440.0,335
1440.0,336
1080.0,337
1080.0,338
1440.0,339
1080.0,340
1080.0,341
1440.0,342
1440.0,343
1080.0,344
1080.0,345
1440.0,346
1080.0,347
1080.0,348
1440.0,349
1080.0,350
1080.0,351
1200.0,352
1440.0,353
1080.0,354
981.82,355
1440.0,356
1080.0,357
1080.0,358
1080.0,359
1309.09,360
1080.0,361
981.82,362
1200.0,363
1600.0,364
1200.0,365
1080.0,366
1600.0,367
1309.09,368
1200.0,369
1200.0,370
1440.0,371
981.82,372
1080.0,373
1309.09,374
1440.0,375
1080.0,376
1080.0,377
1600.0,378
1080.0,379
1080.0,380
1080.0,381
1440.0,382
1309.09,383
1080.0,384
1080.0,385
1080.0,386
1600.0,387
1600.0,388
981.82,389
981.82,390
1080.0,391
1080.0,392
1080.0,393
1080.0,394
1080.0,395
1080.0,396
1080.0,397
1080.0,398
1080.0,399
1080.0,400
1080.0,401
1080.0,402
1080.0,403
1080.0,404
1080.0,405
1080.0,406
1080.0,407
1080.0,408
1080.0,409
1080.0,410
1080.0,411
1080.0,412
1080.0,413
1080.0,414
1080.0,415
1080.0,416
1080.0,417
1080.0,418
1080.0,419
1080.0,420
1080.0,421
1080.0,422
1.91,423
