powerInW,timeInMinutes
61.89,0
56.0,1
60.21,2
124.8,3
56.0,4
62.36,5
106.91,6
106.91,7
34.12,8
58.8,9
1801.8,10
2113.71,11
2274.32,12
2218.8,13
2197.83,14
2182.43,15
1995.43,16
1995.43,17
1995.43,18
1995.43,19
2202.68,20
2026.13,21
2274.32,22
870.83,23
58.8,24
58.8,25
58.8,26
58.8,27
75.15,28
75.15,29
75.15,30
75.15,31
60.3,32
60.3,33
60.3,34
60.3,35
60.3,36
83.24,37
60.83,38
58.8,39
64.33,40
106.91,41
64.67,42
66.57,43
64.92,44
53.45,45
104.78,46
104.78,47
104.78,48
104.78,49
62.53,50
103.24,51
66.57,52
75.46,53
75.46,54
75.46,55
75.46,56
74.53,57
59.8,58
58.2,59
58.8,60
111.22,61
67.85,62
57.84,63
59.19,64
59.19,65
59.19,66
59.19,67
74.84,68
74.84,69
74.84,70
74.84,71
74.84,72
74.84,73
74.84,74
74.84,75
65.81,76
76.7,77
76.7,78
76.7,79
76.7,80
56.89,81
56.89,82
56.89,83
56.89,84
1183.52,85
2590.08,86
1523.2,87
1523.2,88
1523.2,89
1523.2,90
2309.67,91
1384.09,92
2183.02,93
2125.18,94
2160.6,95
2522.34,96
1512.84,97
2153.4,98
2043.6,99
2160.6,100
1144.91,101
1144.91,102
1144.91,103
1144.91,104
1144.91,105
1144.91,106
1144.91,107
1144.91,108
1144.91,109
1144.91,110
1144.91,111
1144.91,112
1144.91,113
1144.91,114
1144.91,115
1144.91,116
1144.91,117
1144.91,118
1144.91,119
1144.91,120
1144.91,121
1144.91,122
1144.91,123
1144.91,124
1144.91,125
1144.91,126
1144.91,127
1144.91,128
1144.91,129
1144.91,130
1144.91,131
1144.91,132
1144.91,133
1144.91,134
1144.91,135
1144.91,136
1.63,137
