powerInW,timeInMinutes
333.61,0
333.61,1
333.61,2
333.61,3
333.61,4
333.61,5
333.61,6
333.61,7
333.61,8
333.61,9
333.61,10
333.61,11
333.61,12
333.61,13
333.61,14
333.61,15
333.61,16
357.5,17
357.5,18
357.5,19
357.5,20
357.5,21
357.5,22
357.5,23
357.5,24
357.5,25
357.5,26
357.5,27
357.5,28
357.5,29
357.5,30
357.5,31
346.15,32
346.15,33
346.15,34
346.15,35
346.15,36
346.15,37
346.15,38
346.15,39
346.15,40
346.15,41
346.15,42
346.15,43
346.15,44
346.15,45
478.26,46
478.26,47
478.26,48
478.26,49
478.26,50
478.26,51
478.26,52
478.26,53
478.26,54
478.26,55
478.26,56
478.26,57
478.26,58
478.26,59
391.3,60
391.3,61
391.3,62
391.3,63
391.3,64
391.3,65
391.3,66
391.3,67
391.3,68
391.3,69
391.3,70
391.3,71
391.3,72
500.0,73
500.0,74
500.0,75
500.0,76
500.0,77
500.0,78
500.0,79
500.0,80
500.0,81
500.0,82
500.0,83
500.0,84
500.0,85
454.55,86
454.55,87
454.55,88
454.55,89
454.55,90
454.55,91
454.55,92
454.55,93
454.55,94
454.55,95
454.55,96
454.55,97
454.55,98
409.09,99
409.09,100
409.09,101
409.09,102
409.09,103
409.09,104
409.09,105
409.09,106
409.09,107
409.09,108
409.09,109
409.09,110
409.09,111
409.09,112
409.09,113
409.09,114
409.09,115
409.09,116
409.09,117
409.09,118
409.09,119
409.09,120
409.09,121
409.09,122
409.09,123
409.09,124
409.09,125
409.09,126
409.09,127
409.09,128
409.09,129
409.09,130
409.09,131
409.09,132
409.09,133
409.09,134
409.09,135
409.09,136
409.09,137
409.09,138
409.09,139
409.09,140
409.09,141
409.09,142
409.09,143
409.09,144
409.09,145
409.09,146
409.09,147
409.09,148
409.09,149
409.09,150
409.09,151
409.09,152
409.09,153
409.09,154
409.09,155
409.09,156
409.09,157
409.09,158
0.0,159
