powerInW,timeInMinutes
2090.9,0
2160.6,1
2090.9,2
815.11,3
815.11,4
834.96,5
2558.79,6
1509.68,7
1630.22,8
1509.68,9
1509.79,10
1560.0,11
1623.14,12
1509.79,13
1509.79,14
1509.68,15
694.68,16
694.57,17
694.68,18
815.11,19
815.11,20
815.11,21
815.11,22
815.11,23
815.11,24
815.11,25
815.11,26
815.11,27
815.11,28
815.11,29
815.11,30
815.11,31
815.11,32
815.11,33
815.11,34
815.11,35
815.11,36
815.11,37
815.11,38
815.11,39
815.11,40
815.11,41
815.11,42
815.11,43
815.11,44
815.11,45
815.11,46
815.11,47
815.11,48
815.11,49
815.11,50
815.11,51
815.11,52
815.11,53
815.11,54
815.11,55
815.11,56
815.11,57
815.11,58
815.11,59
815.11,60
815.11,61
815.11,62
815.11,63
815.11,64
815.11,65
815.11,66
815.11,67
815.11,68
815.11,69
815.11,70
815.11,71
815.11,72
815.11,73
815.11,74
815.11,75
815.11,76
815.11,77
815.11,78
0.0,79
