powerInW,timeInMinutes
1560.05,0
1560.06,1
1560.06,2
1619.8,3
1500.09,4
1647.49,5
1593.47,6
1499.86,7
1620.02,8
1560.06,9
1560.06,10
1560.05,11
779.8,12
177.18,13
1586.5,14
1259.99,15
59.96,16
539.93,17
1560.06,18
479.96,19
60.98,20
885.21,21
1560.06,22
1298.33,23
60.98,24
720.07,25
1560.05,26
539.93,27
58.99,28
1342.33,29
1259.99,30
60.2,31
299.83,32
1534.49,33
610.07,34
61.22,35
870.93,36
1586.5,37
117.97,38
60.98,39
1019.9,40
1259.99,41
60.2,42
59.96,43
1439.9,44
793.25,45
58.98,46
479.97,47
1560.05,48
240.1,49
1620.02,50
2399.83,51
419.99,52
58.99,53
58.99,54
30.35,55
59.96,56
59.96,57
29.99,58
29.99,59
180.01,60
2400.05,61
1739.96,62
1739.96,63
1739.96,64
1739.96,65
1739.96,66
1739.96,67
1739.96,68
1739.96,69
1739.96,70
1739.96,71
1739.96,72
1739.96,73
1739.96,74
1739.96,75
1739.96,76
1739.96,77
1739.96,78
1739.96,79
1739.96,80
1739.96,81
1739.96,82
1739.96,83
1739.96,84
1739.96,85
1739.96,86
1739.96,87
1739.96,88
1739.96,89
1739.96,90
1739.96,91
1739.96,92
1739.96,93
1739.96,94
1739.96,95
1739.96,96
1739.96,97
1739.96,98
1739.96,99
1739.96,100
1739.96,101
1739.96,102
1739.96,103
1739.96,104
1739.96,105
1739.96,106
1739.96,107
1739.96,108
1739.96,109
1739.96,110
1739.96,111
1739.96,112
1739.96,113
1739.96,114
1739.96,115
1739.96,116
1739.96,117
1739.96,118
1739.96,119
1739.96,120
1739.96,121
0.0,122
