powerInW,timeInMinutes
29.73,0
60.99,1
60.2,2
1859.89,3
1620.02,4
2065.57,5
2013.61,6
1739.96,7
2099.99,8
1620.02,9
2065.57,10
2135.58,11
2040.02,12
1559.83,13
2135.81,14
2065.57,15
2099.99,16
539.93,17
119.93,18
119.93,19
118.19,20
732.03,21
2100.22,22
2099.99,23
1379.93,24
117.97,25
121.97,26
1259.99,27
540.16,28
119.93,29
117.97,30
60.98,31
120.16,32
119.93,33
119.93,34
59.21,35
121.97,36
119.93,37
59.96,38
120.17,39
119.93,40
119.93,41
119.93,42
120.16,43
119.93,44
119.93,45
120.16,46
119.93,47
119.93,48
119.93,49
59.21,50
59.21,51
30.23,52
119.93,53
179.9,54
120.16,55
60.98,56
59.97,57
59.96,58
117.97,59
180.13,60
119.93,61
59.97,62
59.96,63
60.2,64
59.96,65
119.93,66
59.97,67
59.96,68
120.16,69
117.97,70
121.97,71
180.13,72
119.93,73
119.93,74
59.97,75
122.2,76
179.9,77
236.17,78
236.17,79
236.17,80
236.17,81
236.17,82
236.17,83
236.17,84
236.17,85
236.17,86
236.17,87
236.17,88
236.17,89
236.17,90
236.17,91
236.17,92
236.17,93
236.17,94
236.17,95
236.17,96
236.17,97
236.17,98
236.17,99
236.17,100
236.17,101
236.17,102
236.17,103
236.17,104
236.17,105
236.17,106
236.17,107
236.17,108
236.17,109
236.17,110
236.17,111
236.17,112
236.17,113
236.17,114
236.17,115
236.17,116
236.17,117
236.17,118
236.17,119
236.17,120
236.17,121
236.17,122
236.17,123
236.17,124
236.17,125
236.17,126
236.17,127
236.17,128
236.17,129
236.17,130
236.17,131
236.17,132
236.17,133
236.17,134
236.17,135
236.17,136
236.17,137
0.0,138
