powerInW,timeInMinutes
702.0,0
731.0,1
796.0,2
838.0,3
891.0,4
956.0,5
989.0,6
1006.0,7
1014.0,8
1011.0,9
1016.0,10
1020.0,11
1018.0,12
1019.0,13
1019.0,14
1016.0,15
1013.0,16
1007.0,17
1002.0,18
1000.0,19
990.0,20
985.0,21
988.0,22
989.0,23
991.0,24
983.0,25
979.0,26
986.0,27
987.0,28
983.0,29
983.0,30
988.0,31
983.0,32
986.0,33
981.0,34
980.0,35
983.0,36
979.0,37
977.0,38
984.0,39
977.0,40
980.0,41
980.0,42
976.0,43
983.0,44
982.0,45
980.0,46
986.0,47
977.0,48
986.0,49
989.0,50
991.0,51
990.0,52
986.0,53
995.0,54
986.0,55
990.0,56
988.0,57
991.0,58
1001.0,59
993.0,60
999.0,61
997.0,62
1001.0,63
990.0,64
989.0,65
991.0,66
983.0,67
975.0,68
977.0,69
976.0,70
975.0,71
975.0,72
974.0,73
980.0,74
978.0,75
980.0,76
976.0,77
977.0,78
970.0,79
975.0,80
969.0,81
969.0,82
967.0,83
972.0,84
973.0,85
969.0,86
975.0,87
972.0,88
978.0,89
974.0,90
980.0,91
971.0,92
976.0,93
967.0,94
971.0,95
973.0,96
965.0,97
962.0,98
972.0,99
969.0,100
972.0,101
968.0,102
976.0,103
971.0,104
967.0,105
974.0,106
974.0,107
962.0,108
974.0,109
966.0,110
967.0,111
971.0,112
967.0,113
966.0,114
967.0,115
969.0,116
971.0,117
967.0,118
961.0,119
964.0,120
965.0,121
967.0,122
964.0,123
968.0,124
965.0,125
963.0,126
969.0,127
965.0,128
958.0,129
960.0,130
963.0,131
959.0,132
961.0,133
960.0,134
964.0,135
964.0,136
966.0,137
961.0,138
962.0,139
962.0,140
963.0,141
963.0,142
964.0,143
961.0,144
966.0,145
963.0,146
959.0,147
959.0,148
960.0,149
959.0,150
959.0,151
960.0,152
959.0,153
961.0,154
964.0,155
963.0,156
960.0,157
963.0,158
962.0,159
959.0,160
957.0,161
962.0,162
958.0,163
962.0,164
962.0,165
962.0,166
961.0,167
959.0,168
956.0,169
959.0,170
960.0,171
955.0,172
959.0,173
958.0,174
960.0,175
962.0,176
959.0,177
946.0,178
953.0,179
959.0,180
953.0,181
956.0,182
957.0,183
955.0,184
957.0,185
956.0,186
952.0,187
960.0,188
968.0,189
968.0,190
974.0,191
965.0,192
972.0,193
970.0,194
972.0,195
965.0,196
967.0,197
960.0,198
961.0,199
966.0,200
956.0,201
962.0,202
962.0,203
961.0,204
964.0,205
962.0,206
963.0,207
963.0,208
959.0,209
960.0,210
958.0,211
960.0,212
958.0,213
961.0,214
959.0,215
961.0,216
953.0,217
955.0,218
953.0,219
956.0,220
957.0,221
953.0,222
957.0,223
954.0,224
952.0,225
954.0,226
