powerInW,timeInMinutes
168.0,0
90.0,1
76.0,2
83.0,3
73.0,4
82.0,5
73.0,6
66.0,7
73.0,8
63.0,9
73.0,10
63.0,11
73.0,12
63.0,13
72.0,14
63.0,15
71.0,16
25.0,17
80.0,18
2234.0,19
2216.0,20
2204.0,21
2202.0,22
2191.0,23
2192.0,24
2201.0,25
2193.0,26
2204.0,27
2201.0,28
2200.0,29
69.0,30
72.0,31
68.0,32
73.0,33
78.0,34
72.0,35
89.0,36
79.0,37
88.0,38
78.0,39
85.0,40
89.0,41
78.0,42
89.0,43
77.0,44
82.0,45
89.0,46
78.0,47
76.0,48
88.0,49
72.0,50
70.0,51
71.0,52
68.0,53
72.0,54
68.0,55
72.0,56
68.0,57
72.0,58
68.0,59
72.0,60
68.0,61
72.0,62
69.0,63
72.0,64
69.0,65
72.0,66
79.0,67
72.0,68
74.0,69
88.0,70
88.0,71
81.0,72
88.0,73
73.0,74
80.0,75
89.0,76
72.0,77
88.0,78
88.0,79
68.0,80
113.0,81
17.0,82
82.0,83
82.0,84
73.0,85
70.0,86
71.0,87
62.0,88
26.0,89
78.0,90
2169.0,91
2161.0,92
2159.0,93
2147.0,94
2181.0,95
2195.0,96
2208.0,97
2210.0,98
2210.0,99
2209.0,100
2198.0,101
2190.0,102
2200.0,103
2187.0,104
2191.0,105
2180.0,106
62.0,107
0.0,108
0.0,109
32.0,110
26.0,111
