powerInW,timeInMinutes
105.8,0
105.4,1
420.8,2
420.8,3
420.8,4
420.8,5
420.8,6
420.8,7
420.8,8
420.8,9
420.8,10
420.8,11
420.8,12
420.8,13
420.8,14
420.8,15
420.8,16
420.8,17
420.8,18
420.8,19
420.8,20
420.8,21
420.8,22
420.8,23
420.8,24
420.8,25
420.8,26
420.8,27
420.8,28
420.8,29
420.8,30
420.8,31
420.8,32
420.8,33
420.8,34
420.8,35
420.8,36
420.8,37
420.8,38
420.8,39
420.8,40
420.8,41
420.8,42
420.8,43
420.8,44
420.8,45
420.8,46
420.8,47
420.8,48
420.8,49
420.8,50
420.8,51
485.1,52
485.1,53
485.1,54
485.1,55
485.1,56
485.1,57
485.1,58
485.1,59
485.1,60
485.1,61
485.1,62
485.1,63
485.1,64
485.1,65
485.1,66
485.1,67
485.1,68
485.1,69
485.1,70
485.1,71
485.1,72
485.1,73
485.1,74
485.1,75
485.1,76
485.1,77
485.1,78
485.1,79
485.1,80
485.1,81
485.1,82
485.1,83
485.1,84
485.1,85
558.7,86
558.7,87
558.7,88
558.7,89
558.7,90
558.7,91
558.7,92
558.7,93
558.7,94
558.7,95
558.7,96
558.7,97
558.7,98
558.7,99
558.7,100
558.7,101
558.7,102
558.7,103
558.7,104
558.7,105
558.7,106
558.7,107
558.7,108
558.7,109
558.7,110
558.7,111
558.7,112
558.7,113
558.7,114
558.7,115
558.7,116
558.7,117
558.7,118
558.7,119
558.7,120
558.7,121
558.7,122
558.7,123
558.7,124
558.7,125
558.7,126
558.7,127
558.7,128
558.7,129
558.7,130
558.7,131
558.7,132
558.7,133
558.7,134
558.7,135
558.7,136
558.7,137
558.7,138
558.7,139
558.7,140
558.7,141
558.7,142
558.7,143
558.7,144
558.7,145
558.7,146
558.7,147
558.7,148
558.7,149
577.0,150
577.0,151
577.0,152
577.0,153
577.0,154
577.0,155
577.0,156
577.0,157
577.0,158
577.0,159
577.0,160
577.0,161
577.0,162
577.0,163
577.0,164
577.0,165
577.0,166
577.0,167
577.0,168
577.0,169
577.0,170
577.0,171
577.0,172
577.0,173
577.0,174
577.0,175
577.0,176
