powerInW,timeInMinutes
1633.0,0
1606.0,1
1613.0,2
1600.0,3
1605.0,4
1607.0,5
1619.0,6
1623.0,7
1614.0,8
1593.0,9
1603.0,10
1591.0,11
60.0,12
1607.0,13
1572.0,14
986.0,15
60.0,16
1614.0,17
1617.0,18
61.0,19
61.0,20
1628.0,21
61.0,22
61.0,23
1635.0,24
1596.0,25
1599.0,26
60.0,27
500.0,28
1590.0,29
1611.0,30
60.0,31
1637.0,32
1613.0,33
61.0,34
1643.0,35
1612.0,36
60.0,37
60.0,38
1610.0,39
1608.0,40
60.0,41
1643.0,42
1616.0,43
60.0,44
60.0,45
1595.0,46
60.0,47
60.0,48
1635.0,49
1617.0,50
60.0,51
1637.0,52
1604.0,53
60.0,54
60.0,55
1608.0,56
1613.0,57
60.0,58
1641.0,59
1597.0,60
60.0,61
60.0,62
