powerInW,timeInMinutes
23.0,0
0.0,1
51.0,2
66.0,3
72.0,4
68.0,5
77.0,6
62.0,7
2050.0,8
95.0,9
2080.0,10
2070.0,11
2077.0,12
2082.0,13
80.0,14
70.0,15
81.0,16
68.0,17
76.0,18
68.0,19
76.0,20
75.0,21
71.0,22
70.0,23
68.0,24
75.0,25
85.0,26
101.0,27
78.0,28
102.0,29
72.0,30
94.0,31
74.0,32
73.0,33
2078.0,34
66.0,35
70.0,36
84.0,37
67.0,38
86.0,39
79.0,40
75.0,41
88.0,42
65.0,43
95.0,44
70.0,45
84.0,46
68.0,47
97.0,48
73.0,49
93.0,50
70.0,51
94.0,52
75.0,53
81.0,54
82.0,55
97.0,56
73.0,57
98.0,58
76.0,59
98.0,60
70.0,61
87.0,62
79.0,63
76.0,64
72.0,65
75.0,66
68.0,67
93.0,68
70.0,69
91.0,70
76.0,71
79.0,72
77.0,73
84.0,74
69.0,75
90.0,76
65.0,77
72.0,78
71.0,79
92.0,80
70.0,81
108.0,82
76.0,83
65.0,84
50.0,85
116.0,86
176.0,87
154.0,88
19.0,89
19.0,90
109.0,91
108.0,92
127.0,93
111.0,94
116.0,95
133.0,96
52.0,97
44.0,98
156.0,99
161.0,100
21.0,101
20.0,102
20.0,103
121.0,104
109.0,105
132.0,106
103.0,107
126.0,108
53.0,109
52.0,110
125.0,111
176.0,112
164.0,113
25.0,114
152.0,115
141.0,116
110.0,117
146.0,118
113.0,119
127.0,120
57.0,121
52.0,122
129.0,123
182.0,124
182.0,125
225.0,126
217.0,127
25.0,128
27.0,129
34.0,130
