powerInW,timeInMinutes
720.0,0
720.0,1
1080.0,2
1080.0,3
1080.0,4
1080.0,5
1080.0,6
1080.0,7
1080.0,8
1440.0,9
1440.0,10
1080.0,11
1440.0,12
1080.0,13
1440.0,14
1440.0,15
1440.0,16
1080.0,17
1080.0,18
1440.0,19
1080.0,20
1080.0,21
1440.0,22
1080.0,23
1440.0,24
1080.0,25
1440.0,26
1080.0,27
1080.0,28
1440.0,29
1080.0,30
1440.0,31
1440.0,32
1440.0,33
1080.0,34
1080.0,35
1080.0,36
1080.0,37
1080.0,38
1440.0,39
1440.0,40
1080.0,41
1080.0,42
1080.0,43
1080.0,44
1440.0,45
1440.0,46
1440.0,47
1440.0,48
1080.0,49
1080.0,50
1080.0,51
1080.0,52
1080.0,53
1080.0,54
1080.0,55
1080.0,56
1080.0,57
1080.0,58
1080.0,59
1080.0,60
1080.0,61
1440.0,62
1440.0,63
1440.0,64
1080.0,65
1080.0,66
1080.0,67
1080.0,68
1080.0,69
1080.0,70
1080.0,71
1080.0,72
1080.0,73
1440.0,74
1440.0,75
1080.0,76
1080.0,77
1080.0,78
1440.0,79
1440.0,80
1080.0,81
1080.0,82
1080.0,83
1440.0,84
1440.0,85
1080.0,86
1080.0,87
1080.0,88
1440.0,89
1440.0,90
1440.0,91
1080.0,92
1072.61,93
1065.22,94
1057.83,95
1050.43,96
1043.04,97
1035.65,98
1028.26,99
1020.87,100
1013.48,101
1006.09,102
998.7,103
991.3,104
983.91,105
976.52,106
969.13,107
961.74,108
954.35,109
946.96,110
939.57,111
932.17,112
924.78,113
917.39,114
910.0,115
902.61,116
895.22,117
887.83,118
880.44,119
873.04,120
865.65,121
858.26,122
850.87,123
843.48,124
836.09,125
828.7,126
821.3,127
813.91,128
806.52,129
799.13,130
791.74,131
784.35,132
776.96,133
769.57,134
762.17,135
754.78,136
747.39,137
740.0,138
732.61,139
725.22,140
717.83,141
710.44,142
703.04,143
695.65,144
688.26,145
680.87,146
673.48,147
666.09,148
658.7,149
651.31,150
643.91,151
636.52,152
629.13,153
621.74,154
614.35,155
606.96,156
599.57,157
592.17,158
584.78,159
577.39,160
570.0,161
562.61,162
555.22,163
547.83,164
540.44,165
533.04,166
525.65,167
518.26,168
510.87,169
503.48,170
496.09,171
488.7,172
481.31,173
473.91,174
466.52,175
459.13,176
451.74,177
444.35,178
436.96,179
429.57,180
422.18,181
414.78,182
407.39,183
400.0,184
392.61,185
385.22,186
377.83,187
370.44,188
363.04,189
355.65,190
348.26,191
340.87,192
333.48,193
326.09,194
318.7,195
311.31,196
303.91,197
296.52,198
289.13,199
281.74,200
274.35,201
266.96,202
259.57,203
252.18,204
244.78,205
237.39,206
230.0,207
222.61,208
215.22,209
207.83,210
200.44,211
193.05,212
185.65,213
178.26,214
170.87,215
163.48,216
156.09,217
148.7,218
141.31,219
133.91,220
126.52,221
119.13,222
111.74,223
104.35,224
96.96,225
89.57,226
82.18,227
74.78,228
67.39,229
60.0,230
52.61,231
