powerInW,timeInMinutes
1966.27,0
1966.05,1
1965.83,2
1965.61,3
1965.39,4
1965.18,5
1964.96,6
1964.74,7
1964.52,8
1964.3,9
1964.08,10
1963.87,11
1963.65,12
1963.43,13
1963.21,14
1962.99,15
1962.77,16
1962.56,17
1962.34,18
1962.12,19
1961.9,20
1961.68,21
1961.46,22
1961.25,23
1961.03,24
1960.81,25
1960.59,26
1960.37,27
1960.15,28
1959.94,29
1959.72,30
1959.5,31
1959.28,32
1959.06,33
1958.84,34
1958.63,35
1958.41,36
1958.19,37
1957.97,38
1957.75,39
1957.53,40
1957.32,41
1957.1,42
1956.88,43
1956.66,44
1956.44,45
1956.22,46
1956.01,47
1955.79,48
1955.57,49
1955.35,50
1955.13,51
1954.91,52
1954.69,53
1954.48,54
1954.26,55
1954.04,56
1953.82,57
1953.6,58
1953.38,59
1953.17,60
1952.95,61
1952.73,62
1952.51,63
1952.29,64
1952.07,65
1951.86,66
1951.64,67
1951.42,68
1951.2,69
1950.98,70
1950.76,71
1950.55,72
1950.33,73
1950.11,74
1949.89,75
1949.67,76
1949.45,77
1949.24,78
1949.02,79
1948.8,80
1948.58,81
1948.36,82
1948.14,83
1947.93,84
1947.71,85
1947.49,86
1947.27,87
1947.05,88
1946.83,89
1946.62,90
1946.4,91
1946.18,92
1945.96,93
1945.74,94
1945.52,95
1945.31,96
1945.09,97
1944.87,98
1944.65,99
1944.43,100
1944.21,101
1944.0,102
1943.78,103
1943.56,104
1943.34,105
1943.12,106
1942.9,107
1942.69,108
1942.47,109
1942.25,110
1942.03,111
1941.81,112
1941.59,113
1941.38,114
1941.16,115
1940.94,116
1940.72,117
1940.5,118
1940.28,119
1940.06,120
1939.85,121
1939.63,122
1939.41,123
1939.19,124
1938.97,125
1938.75,126
1938.54,127
1938.32,128
1938.1,129
1937.88,130
1937.66,131
1937.44,132
1937.23,133
1937.01,134
1936.79,135
1936.57,136
1936.35,137
1936.13,138
1935.92,139
1935.7,140
1935.48,141
1935.26,142
1935.04,143
1934.82,144
1934.61,145
1934.39,146
1934.17,147
1933.95,148
1933.73,149
1933.51,150
1933.3,151
1933.08,152
1932.86,153
1932.64,154
1932.42,155
1932.2,156
1931.99,157
1931.77,158
1931.55,159
1931.33,160
1931.11,161
1930.89,162
1930.68,163
1930.46,164
1930.24,165
1930.02,166
1929.8,167
1929.58,168
1929.37,169
1929.15,170
1928.93,171
1928.71,172
1928.49,173
1928.27,174
1928.06,175
1927.84,176
1927.62,177
1927.4,178
1927.18,179
1926.96,180
1926.74,181
1926.53,182
1926.31,183
1926.09,184
1925.87,185
1925.65,186
1925.43,187
1925.22,188
1925.0,189
1924.78,190
1924.56,191
1924.34,192
1924.12,193
1923.91,194
1923.69,195
1923.47,196
1923.25,197
1923.03,198
1922.81,199
1922.6,200
1922.38,201
1922.16,202
1921.94,203
1921.72,204
1921.5,205
1921.29,206
1921.07,207
1920.85,208
1920.63,209
1920.41,210
1920.19,211
1919.98,212
1919.76,213
1919.54,214
1919.32,215
1919.1,216
1918.88,217
1918.67,218
1918.45,219
1918.23,220
1918.01,221
1917.79,222
1917.57,223
1917.36,224
1917.14,225
1916.92,226
1916.7,227
1916.48,228
1916.26,229
1916.05,230
1915.83,231
1915.61,232
1915.39,233
1915.17,234
1914.95,235
1914.74,236
1914.52,237
1914.3,238
1914.08,239
1913.86,240
