powerInW,timeInMinutes
20.18,0
20.4,1
20.63,2
20.86,3
21.08,4
21.31,5
21.54,6
21.76,7
21.99,8
22.22,9
22.44,10
22.67,11
22.9,12
23.12,13
23.35,14
23.58,15
23.8,16
24.03,17
24.26,18
24.48,19
24.71,20
24.94,21
25.16,22
25.39,23
25.62,24
25.84,25
26.07,26
26.3,27
26.52,28
26.75,29
26.98,30
27.2,31
27.43,32
27.66,33
27.88,34
28.11,35
28.34,36
28.56,37
28.79,38
29.02,39
29.24,40
29.47,41
29.7,42
29.92,43
30.15,44
30.38,45
30.6,46
30.83,47
31.06,48
31.28,49
31.51,50
31.74,51
31.96,52
32.19,53
32.42,54
32.64,55
32.87,56
33.1,57
33.32,58
33.55,59
33.78,60
34.0,61
34.23,62
34.46,63
34.68,64
34.91,65
35.14,66
35.36,67
35.59,68
35.82,69
36.04,70
36.27,71
36.5,72
36.72,73
36.95,74
37.18,75
37.4,76
37.63,77
37.86,78
38.08,79
38.31,80
38.54,81
38.76,82
38.99,83
39.22,84
39.44,85
39.67,86
39.9,87
40.12,88
40.35,89
40.58,90
40.8,91
41.03,92
41.26,93
41.48,94
41.71,95
41.94,96
42.16,97
42.39,98
42.62,99
42.84,100
43.07,101
43.3,102
43.52,103
43.75,104
43.98,105
44.2,106
44.43,107
44.66,108
44.88,109
45.11,110
45.34,111
45.56,112
45.79,113
46.02,114
46.24,115
46.47,116
46.7,117
46.92,118
47.15,119
47.38,120
47.6,121
47.83,122
48.06,123
48.28,124
48.51,125
48.74,126
48.96,127
49.19,128
49.42,129
49.64,130
49.87,131
50.1,132
50.32,133
50.55,134
50.78,135
51.0,136
51.23,137
51.46,138
51.68,139
51.91,140
52.14,141
52.36,142
52.59,143
52.82,144
53.04,145
53.27,146
53.5,147
53.72,148
53.95,149
54.18,150
54.4,151
