powerInW,timeInMinutes
871.96,0
871.96,1
871.96,2
871.96,3
871.96,4
871.96,5
871.96,6
871.96,7
871.96,8
871.96,9
871.96,10
871.96,11
871.96,12
871.96,13
871.96,14
871.96,15
871.96,16
871.96,17
871.96,18
871.96,19
871.96,20
871.96,21
871.96,22
871.96,23
871.96,24
871.96,25
871.96,26
871.96,27
871.96,28
871.96,29
871.96,30
871.96,31
871.96,32
871.96,33
871.96,34
871.96,35
871.96,36
871.96,37
871.96,38
871.96,39
871.96,40
871.96,41
871.96,42
871.96,43
871.96,44
871.96,45
871.96,46
871.96,47
871.96,48
871.96,49
871.96,50
871.96,51
871.96,52
871.96,53
871.96,54
871.96,55
871.96,56
871.96,57
871.96,58
871.96,59
871.96,60
871.96,61
871.96,62
871.96,63
871.96,64
871.96,65
871.96,66
871.96,67
871.96,68
871.96,69
871.96,70
871.96,71
871.96,72
871.96,73
871.96,74
871.96,75
871.96,76
871.96,77
871.96,78
871.96,79
871.96,80
871.96,81
871.96,82
871.96,83
871.96,84
871.96,85
871.96,86
871.96,87
871.96,88
871.96,89
871.96,90
871.96,91
871.96,92
871.96,93
871.96,94
871.96,95
871.96,96
871.96,97
871.96,98
871.96,99
871.96,100
871.96,101
871.96,102
871.96,103
871.96,104
871.96,105
871.96,106
871.96,107
871.96,108
871.96,109
871.96,110
871.96,111
871.96,112
871.96,113
871.96,114
871.96,115
871.96,116
871.96,117
871.96,118
871.96,119
871.96,120
871.96,121
871.96,122
871.96,123
871.96,124
871.96,125
871.96,126
871.96,127
871.96,128
871.96,129
871.96,130
871.96,131
871.96,132
871.96,133
871.96,134
871.96,135
871.96,136
871.96,137
871.96,138
871.96,139
871.96,140
871.96,141
871.96,142
871.96,143
871.96,144
871.96,145
871.96,146
871.96,147
871.96,148
871.96,149
871.96,150
871.96,151
871.96,152
871.96,153
871.96,154
871.96,155
871.96,156
871.96,157
871.96,158
871.96,159
871.96,160
871.96,161
871.96,162
871.96,163
871.96,164
871.96,165
871.96,166
871.96,167
871.96,168
871.96,169
871.96,170
871.96,171
871.96,172
871.96,173
871.96,174
871.96,175
871.96,176
871.96,177
871.96,178
871.96,179
871.96,180
871.96,181
871.96,182
871.96,183
871.96,184
871.96,185
871.96,186
871.96,187
871.96,188
871.96,189
871.96,190
871.96,191
871.96,192
871.96,193
871.96,194
871.96,195
871.96,196
871.96,197
871.96,198
871.96,199
871.96,200
871.96,201
871.96,202
871.96,203
871.96,204
871.96,205
871.96,206
871.96,207
871.96,208
871.96,209
871.96,210
871.96,211
871.96,212
871.96,213
871.96,214
871.96,215
871.96,216
871.96,217
871.96,218
871.96,219
871.96,220
871.96,221
871.96,222
871.96,223
871.96,224
871.96,225
871.96,226
871.96,227
871.96,228
871.96,229
871.96,230
871.96,231
871.96,232
871.96,233
871.96,234
871.96,235
871.96,236
871.96,237
871.96,238
871.96,239
871.96,240
