powerInW,timeInMinutes
10.33,0
10.67,1
11.0,2
11.33,3
11.67,4
12.0,5
12.33,6
12.67,7
13.0,8
13.33,9
13.67,10
14.0,11
14.33,12
14.67,13
15.0,14
15.33,15
15.67,16
16.0,17
16.33,18
16.67,19
17.0,20
17.33,21
17.67,22
18.0,23
18.33,24
18.67,25
19.0,26
19.33,27
19.67,28
20.0,29
19.67,30
19.33,31
19.0,32
18.67,33
18.33,34
18.0,35
17.67,36
17.33,37
17.0,38
16.67,39
16.33,40
16.0,41
15.67,42
15.33,43
15.0,44
14.67,45
14.33,46
14.0,47
13.67,48
13.33,49
13.0,50
12.67,51
12.33,52
12.0,53
11.67,54
11.33,55
11.0,56
10.67,57
10.33,58
