timeInMinutes,powerInW
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,100.5
22,100.5
23,100.5
24,100.5
25,100.5
26,100.5
27,100.5
28,100.5
29,100.5
30,100.5
31,100.5
32,100.5
33,100.5
34,100.5
35,100.5
36,85.4
37,85.4
38,85.4
39,85.4
40,85.4
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,101.9
122,101.9
123,101.9
124,101.9
125,101.9
126,101.9
127,101.9
128,101.9
129,101.9
130,101.9
131,101.9
132,101.9
133,86.5
134,86.5
135,86.5
136,86.5
137,86.5
138,86.5
139,86.5
140,86.5
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,100.3
223,100.3
224,100.3
225,100.3
226,100.3
227,100.3
228,100.3
229,100.3
230,100.3
231,100.3
232,100.3
233,100.3
234,100.3
235,100.3
236,85.1
237,85.1
238,85.1
239,85.1
240,85.1
241,85.1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
