powerInW,timeInMinutes
32.83,0
33.39,1
34.35,2
33.65,3
34.52,4
34.67,5
33.01,6
34.22,7
39.2,8
34.35,9
33.43,10
33.82,11
33.18,12
33.63,13
34.03,14
57.31,15
60.06,16
60.57,17
64.03,18
58.09,19
60.78,20
61.97,21
60.01,22
62.05,23
55.94,24
55.6,25
58.03,26
59.29,27
56.52,28
55.61,29
67.7,30
69.86,31
59.99,32
59.13,33
66.79,34
71.89,35
60.94,36
61.72,37
59.16,38
61.04,39
61.62,40
63.35,41
58.93,42
62.49,43
63.06,44
62.35,45
60.97,46
63.46,47
59.47,48
60.87,49
61.4,50
58.93,51
61.26,52
55.74,53
58.19,54
62.3,55
62.42,56
61.66,57
58.85,58
56.99,59
50.65,60
54.26,61
55.97,62
54.99,63
61.15,64
69.2,65
71.23,66
58.32,67
54.37,68
66.15,69
72.25,70
57.93,71
64.08,72
62.88,73
58.9,74
58.63,75
54.91,76
60.95,77
69.02,78
60.18,79
61.5,80
59.03,81
63.51,82
63.54,83
63.01,84
65.82,85
62.78,86
62.79,87
59.97,88
57.63,89
60.17,90
65.93,91
61.24,92
62.55,93
56.57,94
54.68,95
51.8,96
52.85,97
53.54,98
52.96,99
72.12,100
71.78,101
56.75,102
60.86,103
68.72,104
71.9,105
60.49,106
60.96,107
61.89,108
62.29,109
59.68,110
61.93,111
59.83,112
62.6,113
42.17,114
36.85,115
36.62,116
39.0,117
41.87,118
33.99,119
40.8,120
34.04,121
41.2,122
40.52,123
36.98,124
40.75,125
39.39,126
40.97,127
36.87,128
39.21,129
40.83,130
39.36,131
42.91,132
38.46,133
41.42,134
35.72,135
43.22,136
32.67,137
33.54,138
34.78,139
33.71,140
33.58,141
33.87,142
34.73,143
34.9,144
38.56,145
35.18,146
32.83,147
33.6,148
33.43,149
32.74,150
33.69,151
32.89,152
34.85,153
32.87,154
33.12,155
32.82,156
33.41,157
33.98,158
36.12,159
35.38,160
