powerInW,timeInMinutes
1235.39,0
1578.3,1
1536.45,2
1508.25,3
733.15,4
228.69,5
230.31,6
232.03,7
232.44,8
232.28,9
231.76,10
231.84,11
232.94,12
232.9,13
233.81,14
234.15,15
234.1,16
234.1,17
925.11,18
1551.24,19
1502.13,20
1476.1,21
1455.65,22
1441.66,23
802.78,24
734.36,25
735.1,26
736.91,27
708.73,28
169.93,29
171.19,30
172.47,31
173.17,32
173.17,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
1578.3,39
1536.45,40
1508.25,41
733.15,42
228.69,43
230.31,44
232.03,45
232.44,46
232.28,47
231.76,48
231.84,49
232.94,50
232.9,51
233.81,52
234.15,53
234.1,54
925.11,55
1551.24,56
1502.13,57
1476.1,58
1455.65,59
1441.66,60
802.78,61
734.36,62
736.91,63
708.73,64
169.93,65
171.19,66
172.47,67
173.17,68
173.17,69
