powerInW,timeInMinutes
2269.18,0
2529.13,1
2517.85,2
2292.56,3
2250.2,4
2517.16,5
2407.33,6
2397.4,7
2250.05,8
2514.51,9
2658.72,10
2474.75,11
2687.96,12
2310.63,13
2703.39,14
220.6,15
245.54,16
230.91,17
226.61,18
265.26,19
230.53,20
253.44,21
177.11,22
282.44,23
271.26,24
248.0,25
214.84,26
229.37,27
237.24,28
237.9,29
212.65,30
212.47,31
222.04,32
200.82,33
240.1,34
264.66,35
200.04,36
239.07,37
215.14,38
248.94,39
279.62,40
202.99,41
293.28,42
247.62,43
221.05,44
221.25,45
239.09,46
252.64,47
214.84,48
237.84,49
228.17,50
198.2,51
239.65,52
232.81,53
244.38,54
186.01,55
245.44,56
230.06,57
214.51,58
262.57,59
214.25,60
222.04,61
250.48,62
186.78,63
233.43,64
190.39,65
220.85,66
214.22,67
239.37,68
228.71,69
176.97,70
250.72,71
255.38,72
215.01,73
275.65,74
243.2,75
242.08,76
220.52,77
227.64,78
221.45,79
254.97,80
214.33,81
225.05,82
278.58,83
244.47,84
214.6,85
236.61,86
259.84,87
251.69,88
236.72,89
237.84,90
224.25,91
2432.89,92
2268.5,93
2295.11,94
2649.39,95
2043.38,96
2284.34,97
2100.46,98
2502.18,99
2677.52,100
2907.57,101
2346.22,102
