powerInW,timeInMinutes
83.49,0
77.15,1
75.55,2
75.61,3
75.93,4
77.28,5
75.84,6
75.84,7
21.73,8
0.0,9
85.19,10
84.55,11
83.19,12
88.25,13
90.12,14
86.92,15
86.48,16
88.45,17
90.02,18
93.78,19
94.34,20
90.85,21
73.43,22
87.33,23
101.27,24
82.13,25
83.08,26
77.74,27
96.6,28
90.51,29
81.24,30
83.82,31
105.71,32
93.84,33
89.21,34
83.95,35
81.7,36
97.76,37
103.44,38
83.53,39
84.28,40
89.42,41
86.34,42
104.35,43
93.45,44
105.08,45
75.07,46
96.71,47
100.77,48
88.66,49
83.79,50
86.13,51
104.79,52
93.56,53
96.1,54
89.79,55
80.36,56
87.48,57
89.81,58
93.42,59
96.07,60
112.79,61
177.71,62
155.14,63
181.69,64
161.88,65
137.75,66
170.27,67
173.25,68
119.4,69
96.02,70
97.02,71
88.01,72
86.49,73
89.75,74
101.86,75
92.26,76
