powerInW,timeInMinutes
60.0,0
60.0,1
60.0,2
60.0,3
60.0,4
60.0,5
60.0,6
60.0,7
60.0,8
60.0,9
60.0,10
60.0,11
60.0,12
60.0,13
60.0,14
60.0,15
120.0,16
120.0,17
120.0,18
120.0,19
120.0,20
120.0,21
120.0,22
120.0,23
120.0,24
120.0,25
120.0,26
120.0,27
120.0,28
120.0,29
120.0,30
120.0,31
120.0,32
120.0,33
120.0,34
120.0,35
120.0,36
120.0,37
120.0,38
120.0,39
120.0,40
120.0,41
120.0,42
120.0,43
120.0,44
120.0,45
120.0,46
120.0,47
120.0,48
120.0,49
120.0,50
120.0,51
120.0,52
120.0,53
120.0,54
120.0,55
120.0,56
120.0,57
120.0,58
120.0,59
120.0,60
120.0,61
120.0,62
120.0,63
120.0,64
120.0,65
120.0,66
120.0,67
120.0,68
120.0,69
120.0,70
120.0,71
120.0,72
120.0,73
120.0,74
120.0,75
120.0,76
120.0,77
120.0,78
120.0,79
120.0,80
120.0,81
120.0,82
120.0,83
120.0,84
120.0,85
120.0,86
120.0,87
120.0,88
60.0,89
60.0,90
60.0,91
60.0,92
60.0,93
60.0,94
60.0,95
60.0,96
100.0,97
100.0,98
100.0,99
100.0,100
100.0,101
100.0,102
100.0,103
100.0,104
100.0,105
100.0,106
100.0,107
100.0,108
100.0,109
100.0,110
100.0,111
70.0,112
70.0,113
70.0,114
70.0,115
70.0,116
70.0,117
70.0,118
70.0,119
70.0,120
70.0,121
70.0,122
70.0,123
70.0,124
70.0,125
70.0,126
70.0,127
70.0,128
70.0,129
70.0,130
70.0,131
70.0,132
70.0,133
70.0,134
70.0,135
70.0,136
70.0,137
70.0,138
70.0,139
70.0,140
70.0,141
70.0,142
70.0,143
70.0,144
70.0,145
70.0,146
70.0,147
70.0,148
70.0,149
70.0,150
70.0,151
70.0,152
70.0,153
70.0,154
70.0,155
70.0,156
70.0,157
70.0,158
70.0,159
70.0,160
70.0,161
70.0,162
70.0,163
70.0,164
70.0,165
70.0,166
70.0,167
70.0,168
70.0,169
70.0,170
70.0,171
60.0,172
60.0,173
60.0,174
60.0,175
60.0,176
60.0,177
60.0,178
60.0,179
60.0,180
60.0,181
60.0,182
60.0,183
60.0,184
60.0,185
60.0,186
60.0,187
60.0,188
60.0,189
60.0,190
60.0,191
60.0,192
60.0,193
60.0,194
60.0,195
60.0,196
60.0,197
60.0,198
60.0,199
60.0,200
60.0,201
60.0,202
60.0,203
60.0,204
60.0,205
60.0,206
60.0,207
60.0,208
60.0,209
60.0,210
60.0,211
60.0,212
60.0,213
60.0,214
60.0,215
60.0,216
60.0,217
60.0,218
60.0,219
60.0,220
60.0,221
60.0,222
60.0,223
130.0,224
130.0,225
130.0,226
130.0,227
130.0,228
220.0,229
220.0,230
220.0,231
220.0,232
220.0,233
220.0,234
220.0,235
220.0,236
220.0,237
220.0,238
220.0,239
220.0,240
220.0,241
220.0,242
220.0,243
220.0,244
220.0,245
220.0,246
220.0,247
220.0,248
220.0,249
220.0,250
220.0,251
220.0,252
220.0,253
220.0,254
220.0,255
220.0,256
220.0,257
220.0,258
220.0,259
220.0,260
220.0,261
220.0,262
220.0,263
220.0,264
220.0,265
220.0,266
220.0,267
220.0,268
220.0,269
220.0,270
220.0,271
220.0,272
220.0,273
220.0,274
220.0,275
220.0,276
120.0,277
120.0,278
120.0,279
120.0,280
120.0,281
120.0,282
120.0,283
120.0,284
130.0,285
130.0,286
130.0,287
130.0,288
130.0,289
130.0,290
130.0,291
130.0,292
130.0,293
