powerInW,timeInMinutes
24.24,0
22.51,1
25.18,2
28.22,3
24.3,4
23.99,5
20.91,6
20.37,7
24.44,8
24.35,9
25.1,10
26.69,11
24.09,12
25.14,13
25.1,14
26.99,15
27.43,16
21.4,17
24.97,18
30.54,19
25.34,20
22.1,21
24.32,22
19.74,23
26.7,24
27.09,25
30.32,26
28.73,27
26.92,28
23.49,29
24.37,30
25.4,31
21.88,32
26.37,33
18.51,34
26.48,35
22.41,36
26.19,37
24.49,38
27.54,39
25.14,40
24.3,41
23.31,42
21.59,43
23.57,44
21.33,45
23.39,46
27.57,47
24.32,48
23.2,49
22.65,50
25.31,51
22.37,52
27.12,53
24.36,54
28.33,55
28.48,56
28.87,57
19.98,58
21.67,59
26.65,60
23.18,61
24.22,62
23.04,63
20.01,64
18.67,65
29.94,66
21.74,67
19.44,68
25.44,69
24.03,70
25.07,71
24.15,72
25.9,73
24.52,74
23.07,75
19.67,76
22.52,77
24.65,78
21.17,79
21.26,80
18.1,81
29.93,82
23.85,83
26.01,84
28.35,85
22.79,86
30.55,87
25.0,88
19.87,89
24.15,90
26.69,91
24.27,92
21.55,93
24.27,94
27.68,95
23.6,96
25.46,97
19.89,98
21.66,99
24.36,100
26.44,101
21.97,102
25.97,103
26.39,104
22.63,105
22.29,106
24.58,107
22.94,108
21.22,109
25.63,110
24.16,111
25.03,112
21.59,113
18.15,114
23.6,115
25.05,116
22.0,117
24.22,118
24.19,119
29.24,120
24.42,121
24.51,122
25.56,123
26.88,124
25.56,125
26.32,126
25.85,127
18.96,128
21.45,129
24.17,130
23.92,131
25.49,132
30.05,133
25.69,134
26.86,135
23.26,136
18.98,137
28.13,138
20.74,139
23.79,140
21.42,141
20.53,142
26.29,143
25.02,144
25.06,145
26.2,146
22.34,147
21.59,148
24.59,149
22.07,150
23.15,151
22.94,152
23.49,153
26.51,154
21.37,155
24.02,156
20.32,157
24.64,158
25.97,159
23.86,160
25.29,161
25.58,162
24.01,163
19.12,164
21.15,165
25.24,166
25.82,167
24.2,168
25.43,169
24.18,170
22.93,171
23.47,172
23.13,173
23.58,174
24.95,175
22.96,176
22.03,177
21.3,178
23.43,179
22.9,180
23.02,181
28.24,182
23.19,183
22.99,184
23.97,185
22.45,186
23.13,187
21.8,188
22.22,189
23.99,190
23.17,191
24.55,192
25.58,193
18.65,194
18.71,195
26.18,196
27.01,197
19.49,198
23.74,199
27.93,200
27.79,201
21.02,202
26.02,203
24.0,204
28.6,205
24.56,206
24.1,207
25.53,208
24.69,209
27.33,210
25.54,211
23.6,212
25.21,213
26.86,214
26.94,215
23.65,216
21.96,217
26.17,218
29.17,219
23.34,220
24.94,221
25.53,222
25.4,223
20.87,224
22.88,225
23.42,226
21.52,227
23.0,228
26.43,229
27.02,230
25.43,231
25.62,232
23.55,233
29.66,234
25.59,235
23.77,236
22.69,237
23.57,238
22.06,239
22.77,240
24.05,241
23.82,242
23.62,243
20.21,244
27.93,245
26.31,246
25.44,247
21.91,248
23.96,249
27.63,250
21.83,251
27.02,252
25.13,253
23.49,254
24.99,255
21.84,256
20.47,257
24.27,258
22.08,259
23.46,260
25.47,261
22.8,262
25.84,263
27.85,264
22.4,265
27.35,266
18.21,267
27.85,268
23.82,269
23.68,270
21.92,271
21.62,272
22.16,273
22.56,274
22.53,275
27.12,276
25.3,277
25.38,278
21.0,279
22.25,280
20.05,281
26.83,282
23.97,283
25.31,284
22.81,285
26.29,286
21.03,287
25.5,288
23.14,289
21.43,290
21.92,291
20.9,292
21.07,293
22.7,294
26.13,295
26.47,296
24.07,297
21.46,298
25.42,299
29.83,300
25.61,301
22.61,302
26.93,303
25.2,304
27.13,305
24.62,306
20.15,307
23.94,308
26.52,309
21.37,310
25.6,311
23.48,312
23.53,313
26.37,314
24.64,315
22.42,316
27.15,317
22.63,318
21.78,319
20.73,320
20.35,321
21.82,322
25.54,323
29.27,324
24.62,325
22.96,326
24.99,327
23.03,328
23.79,329
24.25,330
23.75,331
25.64,332
25.53,333
25.17,334
25.51,335
23.88,336
26.72,337
26.64,338
24.36,339
28.66,340
22.91,341
24.59,342
22.9,343
24.94,344
26.28,345
26.34,346
22.84,347
22.95,348
22.83,349
21.01,350
19.68,351
24.19,352
23.64,353
22.46,354
25.24,355
16.56,356
22.67,357
23.17,358
22.77,359
25.63,360
23.23,361
23.58,362
25.13,363
24.13,364
25.91,365
24.68,366
25.92,367
25.05,368
20.68,369
22.91,370
17.82,371
28.57,372
26.82,373
24.31,374
24.48,375
25.59,376
23.49,377
21.05,378
28.49,379
25.68,380
26.07,381
24.84,382
24.27,383
23.66,384
28.12,385
22.99,386
24.49,387
22.11,388
22.42,389
24.53,390
21.02,391
21.42,392
25.83,393
22.83,394
24.88,395
23.82,396
22.42,397
23.66,398
26.66,399
23.38,400
26.69,401
21.15,402
23.63,403
26.65,404
24.14,405
24.19,406
27.85,407
26.91,408
26.59,409
24.44,410
23.4,411
25.53,412
25.99,413
23.96,414
23.8,415
25.31,416
21.88,417
23.74,418
26.13,419
18.06,420
23.77,421
24.01,422
22.93,423
25.36,424
23.59,425
20.05,426
19.41,427
25.61,428
27.26,429
21.08,430
21.63,431
22.59,432
18.96,433
27.68,434
20.97,435
19.65,436
29.28,437
22.47,438
20.73,439
25.3,440
20.87,441
23.06,442
21.74,443
25.72,444
23.25,445
23.21,446
27.25,447
27.08,448
21.13,449
24.71,450
23.6,451
26.4,452
21.12,453
26.67,454
23.73,455
25.46,456
25.57,457
24.86,458
25.24,459
25.12,460
22.59,461
26.0,462
26.71,463
22.26,464
22.75,465
24.66,466
22.98,467
23.56,468
19.86,469
16.18,470
21.45,471
22.76,472
27.96,473
24.96,474
24.49,475
22.49,476
26.52,477
24.61,478
20.59,479
22.89,480
24.3,481
25.91,482
22.2,483
22.71,484
21.65,485
25.47,486
23.71,487
20.37,488
25.47,489
22.96,490
24.76,491
25.0,492
27.65,493
28.59,494
25.3,495
25.03,496
26.8,497
23.05,498
25.05,499
24.4,500
22.8,501
20.97,502
25.53,503
25.14,504
26.89,505
26.56,506
25.07,507
23.59,508
26.3,509
24.75,510
26.31,511
28.69,512
26.05,513
23.2,514
28.67,515
25.05,516
24.63,517
25.2,518
19.77,519
24.71,520
21.05,521
24.57,522
25.39,523
28.12,524
23.11,525
20.38,526
23.24,527
23.07,528
26.36,529
25.41,530
26.75,531
29.49,532
20.75,533
22.57,534
24.8,535
23.1,536
19.85,537
25.9,538
24.78,539
22.8,540
26.82,541
21.22,542
20.49,543
25.13,544
23.21,545
22.52,546
25.22,547
28.47,548
20.1,549
21.25,550
23.05,551
27.02,552
25.58,553
27.42,554
23.55,555
27.06,556
22.79,557
22.58,558
18.99,559
20.55,560
23.71,561
22.94,562
23.65,563
24.55,564
19.87,565
23.79,566
25.58,567
22.44,568
23.5,569
28.16,570
22.34,571
22.5,572
23.83,573
24.74,574
23.65,575
26.14,576
22.6,577
26.28,578
30.06,579
23.27,580
24.26,581
24.07,582
27.46,583
23.46,584
23.81,585
20.99,586
22.93,587
24.51,588
25.24,589
23.37,590
24.08,591
23.14,592
27.43,593
22.85,594
28.37,595
20.78,596
23.81,597
22.95,598
20.49,599
25.87,600
23.72,601
22.8,602
23.05,603
21.43,604
25.01,605
25.92,606
19.22,607
26.0,608
22.49,609
19.31,610
24.63,611
24.36,612
22.27,613
21.97,614
29.84,615
25.01,616
23.79,617
27.17,618
21.97,619
21.29,620
23.19,621
28.17,622
26.53,623
22.1,624
23.79,625
22.81,626
27.06,627
24.17,628
24.13,629
24.25,630
25.2,631
23.82,632
25.22,633
22.92,634
27.01,635
18.75,636
21.8,637
24.24,638
24.51,639
22.01,640
21.77,641
18.95,642
25.33,643
21.79,644
23.04,645
27.16,646
21.5,647
25.07,648
25.03,649
26.96,650
26.41,651
25.98,652
