powerInW,timeInMinutes
169.86,0
158.6,1
191.18,2
153.56,3
156.53,4
171.08,5
162.85,6
167.06,7
186.76,8
150.07,9
158.27,10
168.81,11
167.52,12
151.19,13
129.67,14
169.38,15
162.29,16
170.12,17
179.99,18
153.19,19
167.78,20
179.8,21
185.82,22
143.92,23
167.57,24
171.65,25
156.25,26
151.11,27
158.95,28
165.47,29
172.02,30
160.24,31
165.85,32
125.38,33
158.7,34
162.7,35
153.33,36
169.12,37
158.32,38
172.56,39
174.16,40
148.52,41
171.96,42
178.87,43
178.1,44
183.69,45
43.34,46
45.3,47
43.58,48
43.44,49
40.89,50
260.57,51
245.29,52
227.69,53
238.52,54
240.61,55
237.81,56
231.37,57
258.95,58
256.87,59
253.22,60
254.08,61
247.67,62
238.22,63
246.09,64
246.82,65
240.51,66
239.43,67
215.13,68
237.04,69
237.62,70
271.48,71
241.72,72
252.59,73
230.17,74
254.58,75
251.24,76
227.59,77
270.97,78
256.09,79
253.06,80
243.29,81
256.44,82
230.45,83
251.4,84
246.49,85
262.85,86
223.86,87
227.73,88
246.19,89
270.44,90
241.68,91
233.73,92
259.92,93
248.35,94
239.74,95
224.61,96
249.14,97
228.49,98
275.5,99
232.86,100
237.17,101
255.37,102
236.7,103
243.41,104
248.29,105
263.63,106
242.72,107
272.1,108
251.93,109
232.97,110
271.32,111
231.22,112
252.2,113
264.21,114
252.28,115
241.39,116
245.05,117
226.45,118
245.52,119
252.77,120
234.74,121
251.61,122
259.44,123
233.72,124
236.36,125
250.69,126
243.02,127
227.87,128
260.74,129
240.67,130
246.6,131
261.68,132
226.22,133
258.91,134
253.6,135
248.75,136
234.37,137
225.45,138
246.31,139
45.15,140
46.21,141
42.66,142
41.13,143
41.92,144
173.98,145
167.28,146
165.09,147
162.88,148
137.64,149
167.29,150
161.5,151
164.67,152
171.43,153
172.78,154
167.83,155
152.72,156
156.69,157
180.11,158
162.64,159
171.08,160
162.71,161
171.89,162
164.02,163
161.88,164
172.96,165
174.4,166
162.84,167
162.65,168
160.77,169
179.23,170
188.12,171
137.29,172
152.43,173
188.77,174
153.91,175
171.3,176
163.73,177
163.42,178
155.91,179
175.07,180
180.44,181
190.88,182
145.97,183
154.77,184
180.32,185
177.3,186
169.98,187
169.47,188
169.38,189
140.84,190
157.52,191
146.75,192
170.94,193
159.13,194
184.89,195
136.89,196
177.22,197
163.01,198
176.62,199
184.8,200
167.93,201
168.69,202
145.53,203
185.56,204
146.86,205
155.23,206
147.36,207
172.47,208
180.44,209
