groupe,fichier,durée_min,pic_W
Lights,Lights_727min_cycle1.csv,727,260.0
Lights,Lights_595min_cycle2.csv,595,230.0
Lights,Lights_572min_cycle3.csv,572,220.0
Lights,Lights_533min_cycle4.csv,533,220.0
Lights,Lights_525min_cycle5.csv,525,230.0
Cooking_Stove,Cooking_Stove_162min_cycle1.csv,162,1880.8
Cooking_Stove,Cooking_Stove_134min_cycle2.csv,134,1778.1
Cooking_Stove,Cooking_Stove_69min_cycle3.csv,69,1182.7
Cooking_Stove,Cooking_Stove_63min_cycle4.csv,63,2415.8
Cooking_Stove,Cooking_Stove_48min_cycle5.csv,48,2509.5
Oven_Bread,Oven_Bread_32min_cycle1.csv,32,3996.1
Oven_Bread,Oven_Bread_29min_cycle2.csv,29,4269.1
Oven_Bread,Oven_Bread_19min_cycle3.csv,19,3981.9
Oven_Bread,Oven_Bread_19min_cycle4.csv,19,3907.9
Oven_Bread,Oven_Bread_19min_cycle5.csv,19,3978.7
Microwave,Microwave_10min_cycle1.csv,10,2758.0
Microwave,Microwave_12min_cycle2.csv,12,2861.6
Dishwasher,Dishwasher_120min_cycle1.csv,120,3066.0
Dishwasher,Dishwasher_111min_cycle2.csv,111,2686.8
Dishwasher,Dishwasher_104min_cycle3.csv,104,3010.7
Dishwasher,Dishwasher_103min_cycle4.csv,103,2907.6
Dishwasher,Dishwasher_101min_cycle5.csv,101,2807.8
Washing_Machine,Washing_Machine_106min_cycle1.csv,106,1914.7
Washing_Machine,Washing_Machine_105min_cycle2.csv,105,1914.7
Washing_Machine,Washing_Machine_104min_cycle3.csv,104,1914.7
Washing_Machine,Washing_Machine_101min_cycle4.csv,101,1950.0
Washing_Machine,Washing_Machine_101min_cycle5.csv,101,1950.0
Coffee_Machine,Coffee_Machine_10min_cycle1.csv,10,1297.5
Coffee_Machine,Coffee_Machine_11min_cycle2.csv,11,1261.7
Coffee_Machine,Coffee_Machine_10min_cycle3.csv,10,1377.4
Hair_Dryer,Hair_Dryer_24min_cycle1.csv,24,1204.8
Hair_Dryer,Hair_Dryer_23min_cycle2.csv,23,1294.3
Hair_Dryer,Hair_Dryer_22min_cycle3.csv,22,1203.5
Hair_Dryer,Hair_Dryer_22min_cycle4.csv,22,1286.0
Hair_Dryer,Hair_Dryer_22min_cycle5.csv,22,1213.4
Vacuum,Vacuum_28min_cycle1.csv,28,1836.2
Vacuum,Vacuum_27min_cycle2.csv,27,1769.9
TV_HiFi,TV_HiFi_235min_cycle1.csv,235,288.7
TV_HiFi,TV_HiFi_210min_cycle2.csv,210,275.5
TV_HiFi,TV_HiFi_209min_cycle3.csv,209,286.4
TV_HiFi,TV_HiFi_202min_cycle4.csv,202,279.5
TV_HiFi,TV_HiFi_201min_cycle5.csv,201,292.6
Computer,Computer_161min_cycle1.csv,161,72.3
Computer,Computer_159min_cycle2.csv,159,515.1
Computer,Computer_151min_cycle3.csv,151,73.8
Computer,Computer_146min_cycle4.csv,146,568.5
Computer,Computer_140min_cycle5.csv,140,74.2
Fridge,Fridge_81min_cycle1.csv,81,173.6
Fridge,Fridge_81min_cycle2.csv,81,170.4
Fridge,Fridge_79min_cycle3.csv,79,174.3
Fridge,Fridge_79min_cycle4.csv,79,174.1
Fridge,Fridge_77min_cycle5.csv,77,181.7
