powerInW,timeInMinutes
200.8,0
520.0,1
520.0,2
520.0,3
520.0,4
520.0,5
520.0,6
520.0,7
520.0,8
520.0,9
520.0,10
520.0,11
520.0,12
520.0,13
520.0,14
520.0,15
520.0,16
520.0,17
520.0,18
520.0,19
520.0,20
520.0,21
520.0,22
520.0,23
520.0,24
520.0,25
520.0,26
520.0,27
520.0,28
520.0,29
520.0,30
520.0,31
520.0,32
520.0,33
520.0,34
520.0,35
520.0,36
520.0,37
520.0,38
520.0,39
520.0,40
520.0,41
520.0,42
520.0,43
520.0,44
520.0,45
520.0,46
520.0,47
520.0,48
520.0,49
520.0,50
520.0,51
520.0,52
520.0,53
520.0,54
520.0,55
520.0,56
520.0,57
520.0,58
520.0,59
520.0,60
312.0,61
