powerInW,timeInMinutes
156.24,0
110.21,1
182.3,2
176.67,3
152.05,4
158.12,5
176.14,6
145.67,7
153.69,8
153.17,9
145.2,10
172.75,11
164.22,12
172.95,13
133.17,14
165.08,15
166.86,16
127.51,17
115.83,18
167.32,19
158.23,20
168.96,21
166.22,22
154.83,23
135.15,24
127.72,25
120.28,26
123.86,27
160.56,28
148.26,29
170.2,30
166.46,31
158.73,32
155.67,33
152.73,34
140.98,35
152.53,36
129.18,37
148.21,38
156.13,39
131.95,40
144.76,41
175.0,42
170.2,43
148.75,44
161.98,45
157.46,46
146.08,47
127.03,48
140.55,49
173.96,50
149.62,51
164.23,52
164.21,53
192.84,54
149.06,55
161.14,56
