powerInW,timeInMinutes
1709.67,0
1620.29,1
1554.14,2
1735.55,3
1595.03,4
1605.99,5
1594.45,6
1816.09,7
1791.96,8
1399.91,9
1944.82,10
1694.28,11
1594.91,12
1684.73,13
1524.93,14
1723.51,15
1626.74,16
1865.96,17
1803.15,18
1559.11,19
1656.42,20
1761.01,21
1543.81,22
1628.39,23
1752.19,24
2037.09,25
1775.86,26
1929.02,27
1709.44,28
1517.21,29
1950.14,30
1756.37,31
2173.08,32
0.0,33
0.0,34
0.0,35
1620.38,36
1502.47,37
1527.51,38
1598.13,39
1604.34,40
1629.57,41
1705.62,42
1702.41,43
1659.46,44
1958.43,45
1567.27,46
1511.03,47
1746.66,48
1607.18,49
1801.99,50
1633.31,51
1844.28,52
1291.1,53
1571.02,54
1834.38,55
1936.62,56
1867.88,57
1703.45,58
1369.5,59
2034.03,60
1515.79,61
1536.55,62
1780.83,63
1846.79,64
1739.63,65
1598.92,66
1642.78,67
1662.59,68
1827.36,69
1721.74,70
1623.18,71
