powerInW,timeInMinutes
250.0,0
250.0,1
320.0,2
320.0,3
320.0,4
320.0,5
320.0,6
320.0,7
320.0,8
320.0,9
320.0,10
320.0,11
320.0,12
320.0,13
320.0,14
320.0,15
320.0,16
320.0,17
360.0,18
360.0,19
360.0,20
360.0,21
360.0,22
360.0,23
360.0,24
360.0,25
360.0,26
360.0,27
360.0,28
360.0,29
360.0,30
290.0,31
290.0,32
290.0,33
290.0,34
290.0,35
360.0,36
360.0,37
360.0,38
360.0,39
360.0,40
360.0,41
360.0,42
360.0,43
360.0,44
360.0,45
360.0,46
360.0,47
360.0,48
360.0,49
360.0,50
360.0,51
360.0,52
360.0,53
360.0,54
360.0,55
360.0,56
360.0,57
360.0,58
360.0,59
360.0,60
360.0,61
360.0,62
360.0,63
360.0,64
360.0,65
360.0,66
360.0,67
360.0,68
360.0,69
360.0,70
360.0,71
360.0,72
360.0,73
260.0,74
260.0,75
260.0,76
260.0,77
260.0,78
260.0,79
260.0,80
290.0,81
290.0,82
290.0,83
290.0,84
290.0,85
260.0,86
260.0,87
260.0,88
260.0,89
260.0,90
260.0,91
260.0,92
260.0,93
260.0,94
260.0,95
260.0,96
260.0,97
260.0,98
260.0,99
260.0,100
260.0,101
260.0,102
260.0,103
260.0,104
260.0,105
260.0,106
260.0,107
260.0,108
260.0,109
260.0,110
260.0,111
260.0,112
260.0,113
260.0,114
260.0,115
260.0,116
260.0,117
260.0,118
260.0,119
260.0,120
260.0,121
260.0,122
260.0,123
260.0,124
260.0,125
260.0,126
260.0,127
260.0,128
260.0,129
260.0,130
260.0,131
80.0,132
80.0,133
80.0,134
80.0,135
80.0,136
80.0,137
80.0,138
80.0,139
80.0,140
80.0,141
80.0,142
80.0,143
80.0,144
80.0,145
80.0,146
80.0,147
80.0,148
80.0,149
20.0,150
20.0,151
20.0,152
20.0,153
20.0,154
20.0,155
20.0,156
20.0,157
20.0,158
