powerInW,timeInMinutes
24.62,0
19.83,1
23.12,2
21.76,3
20.86,4
20.57,5
24.72,6
25.56,7
20.15,8
20.14,9
24.64,10
25.39,11
22.08,12
21.39,13
23.09,14
22.95,15
24.06,16
25.83,17
23.2,18
19.72,19
20.11,20
22.0,21
20.01,22
20.5,23
22.53,24
20.37,25
17.41,26
20.19,27
24.97,28
24.39,29
17.33,30
25.56,31
16.34,32
19.66,33
23.25,34
25.23,35
25.71,36
26.27,37
18.85,38
21.06,39
19.31,40
20.71,41
15.06,42
23.71,43
22.57,44
24.43,45
21.38,46
17.43,47
20.85,48
21.36,49
20.07,50
24.67,51
20.33,52
19.11,53
21.12,54
23.93,55
18.9,56
23.54,57
16.15,58
24.68,59
23.59,60
21.82,61
23.53,62
18.41,63
20.75,64
21.68,65
22.7,66
20.94,67
20.95,68
24.5,69
23.13,70
21.82,71
20.48,72
26.42,73
22.57,74
23.29,75
22.25,76
22.53,77
19.08,78
22.55,79
20.77,80
20.95,81
20.12,82
21.47,83
21.78,84
22.1,85
17.92,86
19.84,87
20.7,88
21.93,89
19.48,90
20.77,91
22.08,92
19.53,93
21.1,94
23.16,95
22.08,96
22.68,97
20.06,98
21.97,99
21.7,100
21.92,101
20.87,102
23.35,103
22.03,104
22.58,105
22.01,106
20.9,107
26.51,108
21.18,109
23.38,110
21.41,111
25.52,112
25.05,113
21.12,114
23.49,115
23.55,116
17.68,117
21.61,118
24.61,119
20.79,120
18.75,121
26.17,122
23.44,123
26.07,124
21.26,125
23.38,126
19.88,127
23.73,128
23.04,129
24.1,130
20.8,131
22.53,132
20.03,133
24.07,134
20.37,135
20.85,136
25.57,137
21.54,138
24.95,139
21.91,140
24.72,141
20.72,142
20.37,143
21.7,144
21.17,145
24.56,146
22.06,147
27.69,148
24.15,149
23.96,150
24.55,151
23.24,152
24.74,153
20.88,154
21.49,155
19.78,156
21.92,157
26.04,158
21.85,159
21.68,160
23.53,161
23.13,162
18.52,163
26.02,164
18.52,165
20.38,166
23.65,167
22.47,168
