powerInW,timeInMinutes
875.51,0
860.55,1
956.11,2
962.48,3
820.12,4
889.63,5
887.2,6
921.44,7
1016.78,8
931.68,9
906.1,10
930.61,11
806.39,12
1017.69,13
889.21,14
962.92,15
1089.62,16
868.49,17
1004.25,18
856.37,19
897.95,20
866.77,21
899.38,22
1026.92,23
960.5,24
999.82,25
792.7,26
845.64,27
761.85,28
852.03,29
832.13,30
891.65,31
916.26,32
878.81,33
1008.81,34
956.54,35
1048.39,36
968.32,37
890.66,38
852.72,39
802.44,40
975.3,41
969.95,42
936.38,43
956.5,44
1038.58,45
729.91,46
988.22,47
852.21,48
1018.69,49
1027.28,50
913.35,51
761.2,52
775.28,53
991.57,54
920.51,55
939.65,56
876.7,57
855.0,58
928.6,59
824.79,60
852.35,61
