powerInW,timeInMinutes
140.82,0
240.47,1
245.21,2
242.59,3
238.35,4
236.69,5
749.66,6
2086.14,7
2078.45,8
2063.56,9
2075.19,10
2073.9,11
2066.02,12
2065.86,13
2061.61,14
2056.66,15
2046.1,16
2043.41,17
2037.38,18
2043.94,19
261.54,20
203.76,21
222.23,22
227.14,23
1755.11,24
2062.81,25
2063.31,26
2062.66,27
2052.52,28
2050.3,29
2051.24,30
2058.03,31
2052.86,32
2049.5,33
2054.04,34
2049.1,35
2044.6,36
2048.89,37
1695.7,38
212.85,39
211.24,40
213.68,41
213.23,42
211.24,43
207.21,44
204.87,45
202.27,46
200.8,47
196.33,48
193.16,49
189.77,50
188.36,51
187.38,52
187.38,53
85.62,54
132.56,55
146.91,56
217.75,57
216.03,58
215.48,59
215.48,60
92.37,61
194.05,62
155.42,63
155.13,64
126.3,65
0.0,66
149.82,67
1543.05,68
2002.08,69
1999.85,70
1994.29,71
2002.96,72
2008.98,73
1997.84,74
1993.84,75
1980.75,76
1984.73,77
1985.17,78
1988.93,79
1992.48,80
1986.48,81
1981.6,82
2000.68,83
1994.9,84
1995.78,85
1994.89,86
1994.02,87
1992.89,88
937.91,89
