powerInW,timeInMinutes
16.99,0
15.13,1
13.0,2
15.47,3
18.39,4
11.84,5
18.3,6
17.05,7
16.91,8
14.81,9
13.98,10
17.35,11
14.0,12
14.99,13
17.73,14
14.33,15
14.41,16
15.28,17
14.83,18
15.55,19
18.94,20
16.81,21
18.12,22
16.31,23
14.48,24
15.51,25
16.06,26
16.66,27
17.92,28
16.73,29
15.77,30
15.35,31
16.39,32
15.22,33
16.63,34
16.85,35
17.56,36
17.18,37
19.65,38
16.1,39
15.02,40
13.86,41
17.12,42
16.85,43
17.25,44
16.74,45
14.75,46
18.32,47
14.98,48
14.83,49
15.94,50
15.12,51
14.69,52
18.83,53
18.25,54
14.9,55
16.25,56
15.56,57
17.49,58
1.74,59
16.63,60
17.03,61
15.77,62
17.05,63
19.76,64
18.42,65
18.11,66
17.62,67
15.11,68
17.34,69
15.66,70
15.12,71
16.49,72
14.65,73
16.49,74
15.87,75
16.27,76
18.09,77
15.85,78
14.8,79
14.64,80
14.33,81
18.83,82
18.04,83
14.57,84
12.95,85
16.21,86
16.16,87
16.55,88
15.18,89
19.63,90
15.61,91
16.08,92
17.25,93
18.24,94
16.57,95
16.33,96
16.61,97
18.11,98
15.34,99
14.61,100
17.5,101
16.5,102
13.45,103
13.28,104
15.66,105
16.12,106
15.23,107
14.81,108
13.8,109
16.12,110
15.62,111
15.2,112
15.51,113
16.66,114
14.12,115
19.21,116
