powerInW,timeInMinutes
123.6,0
121.96,1
115.49,2
112.3,3
125.0,4
124.94,5
124.81,6
114.88,7
119.83,8
133.81,9
120.92,10
120.08,11
129.25,12
112.4,13
121.76,14
121.06,15
118.71,16
114.62,17
114.92,18
144.76,19
118.64,20
113.79,21
116.1,22
113.22,23
130.43,24
128.96,25
130.98,26
114.51,27
115.44,28
106.04,29
118.35,30
109.98,31
126.33,32
120.08,33
117.3,34
114.39,35
115.3,36
121.69,37
116.71,38
117.49,39
106.5,40
118.5,41
130.21,42
118.51,43
126.05,44
129.19,45
119.78,46
119.56,47
120.53,48
129.26,49
119.36,50
125.41,51
126.23,52
114.85,53
129.51,54
120.42,55
115.35,56
122.75,57
128.81,58
112.18,59
121.2,60
124.3,61
127.97,62
121.31,63
110.78,64
131.21,65
115.65,66
127.25,67
128.6,68
124.38,69
119.99,70
122.95,71
125.6,72
135.63,73
126.41,74
124.53,75
123.69,76
127.18,77
115.65,78
116.58,79
106.68,80
122.53,81
126.83,82
117.08,83
118.95,84
128.33,85
122.81,86
107.88,87
118.44,88
