powerInW,timeInMinutes
66.27,0
64.96,1
72.98,2
73.21,3
65.19,4
1897.27,5
1935.76,6
1938.97,7
1938.72,8
1936.89,9
1940.96,10
1936.48,11
915.7,12
102.63,13
1932.47,14
341.04,15
110.45,16
100.94,17
104.05,18
105.53,19
54.14,20
88.05,21
257.29,22
0.0,23
46.46,24
52.61,25
63.46,26
74.24,27
71.1,28
66.29,29
61.49,30
62.76,31
89.21,32
213.04,33
303.68,34
46.92,35
51.99,36
64.53,37
72.73,38
69.25,39
67.25,40
61.73,41
65.23,42
95.66,43
270.22,44
367.4,45
84.98,46
48.01,47
60.92,48
54.49,49
76.88,50
68.88,51
81.42,52
77.2,53
0.0,54
93.48,55
67.62,56
71.04,57
194.45,58
182.24,59
347.31,60
447.41,61
415.06,62
409.24,63
340.81,64
