powerInW,timeInMinutes
265.78,0
219.02,1
293.9,2
332.67,3
341.92,4
298.02,5
273.23,6
253.92,7
268.73,8
262.4,9
258.94,10
289.3,11
303.29,12
320.87,13
320.1,14
313.09,15
290.35,16
337.58,17
292.46,18
292.68,19
393.95,20
318.86,21
253.2,22
281.36,23
246.18,24
286.63,25
300.84,26
323.28,27
282.5,28
308.32,29
223.94,30
314.16,31
349.88,32
322.29,33
292.1,34
310.56,35
328.08,36
345.92,37
303.5,38
338.04,39
255.26,40
327.9,41
289.82,42
264.4,43
338.81,44
296.25,45
388.25,46
275.34,47
348.24,48
338.93,49
300.22,50
284.51,51
294.87,52
299.88,53
260.68,54
323.44,55
316.59,56
329.12,57
281.95,58
278.6,59
344.38,60
343.67,61
269.81,62
248.17,63
291.87,64
270.91,65
268.96,66
244.53,67
325.78,68
330.8,69
287.17,70
332.26,71
311.87,72
273.08,73
324.19,74
347.66,75
327.56,76
307.31,77
352.77,78
242.21,79
326.86,80
332.88,81
310.99,82
248.38,83
316.36,84
339.5,85
324.79,86
271.4,87
291.93,88
296.98,89
288.8,90
277.36,91
288.23,92
311.62,93
282.51,94
299.11,95
329.68,96
295.25,97
346.65,98
345.67,99
319.94,100
283.41,101
357.96,102
311.12,103
279.29,104
312.82,105
319.71,106
265.11,107
249.29,108
338.5,109
330.15,110
308.95,111
276.97,112
312.77,113
287.95,114
305.41,115
312.24,116
287.24,117
284.16,118
339.64,119
