powerInW,timeInMinutes
3.32,0
3.06,1
3.09,2
3.26,3
3.09,4
2.99,5
3.38,6
3.22,7
2.98,8
2.95,9
2.81,10
24.38,11
25.31,12
23.43,13
25.35,14
24.63,15
23.06,16
23.98,17
20.71,18
25.16,19
26.4,20
23.65,21
23.61,22
20.92,23
25.05,24
23.63,25
21.17,26
28.0,27
21.48,28
22.85,29
23.41,30
26.18,31
23.11,32
24.81,33
22.54,34
24.66,35
22.62,36
22.82,37
24.55,38
25.63,39
25.76,40
22.84,41
26.49,42
23.94,43
23.54,44
24.0,45
22.31,46
26.14,47
22.25,48
24.67,49
22.53,50
25.79,51
23.31,52
23.35,53
25.5,54
22.97,55
24.29,56
23.79,57
22.4,58
24.87,59
24.46,60
20.68,61
23.79,62
24.42,63
23.81,64
23.15,65
26.87,66
21.62,67
23.9,68
24.47,69
25.87,70
24.37,71
21.92,72
23.15,73
24.05,74
23.64,75
20.53,76
24.89,77
24.6,78
24.34,79
24.38,80
21.86,81
20.39,82
24.22,83
23.54,84
24.41,85
23.63,86
26.1,87
23.81,88
22.22,89
24.21,90
21.74,91
25.48,92
24.5,93
23.09,94
22.08,95
24.7,96
26.42,97
22.22,98
25.93,99
25.14,100
22.8,101
23.27,102
21.38,103
27.03,104
23.12,105
23.07,106
23.13,107
22.18,108
21.83,109
23.35,110
23.98,111
24.64,112
24.09,113
23.21,114
25.21,115
23.72,116
19.22,117
22.21,118
24.59,119
21.85,120
23.43,121
23.17,122
23.98,123
23.9,124
25.0,125
21.18,126
27.59,127
23.15,128
22.87,129
22.62,130
20.8,131
25.24,132
