powerInW,timeInMinutes
84.34,0
96.5,1
98.48,2
85.31,3
93.06,4
87.81,5
96.98,6
98.14,7
82.13,8
84.15,9
90.02,10
91.98,11
92.27,12
87.87,13
78.27,14
82.76,15
87.42,16
90.8,17
80.07,18
80.52,19
72.95,20
80.73,21
99.42,22
103.78,23
86.04,24
101.31,25
78.89,26
76.99,27
84.27,28
89.26,29
94.85,30
100.23,31
89.27,32
100.64,33
82.97,34
93.89,35
89.82,36
88.58,37
103.43,38
86.49,39
82.95,40
170.43,41
165.29,42
154.08,43
156.6,44
172.22,45
165.05,46
99.29,47
81.22,48
70.69,49
90.94,50
101.93,51
101.8,52
103.17,53
95.95,54
86.51,55
74.38,56
86.7,57
88.84,58
89.15,59
90.44,60
80.66,61
92.52,62
90.24,63
91.69,64
79.46,65
90.44,66
101.73,67
85.61,68
97.64,69
94.56,70
96.38,71
88.4,72
