powerInW,timeInMinutes
2454.39,0
2596.92,1
2629.25,2
2404.31,3
2007.23,4
2879.26,5
2807.55,6
2896.78,7
2448.11,8
2825.37,9
2679.3,10
2972.58,11
2208.96,12
2288.06,13
2104.75,14
2246.02,15
2633.77,16
0.0,17
0.0,18
0.0,19
1212.54,20
1245.58,21
1326.04,22
1407.79,23
1097.94,24
1531.48,25
1323.11,26
1331.32,27
1540.41,28
1258.06,29
1273.92,30
1417.56,31
1353.39,32
1202.18,33
1004.86,34
945.52,35
1323.8,36
1215.25,37
1294.89,38
1277.79,39
1445.79,40
1457.18,41
1158.84,42
905.14,43
1106.96,44
1417.73,45
1219.33,46
1470.86,47
1233.57,48
1214.18,49
1320.78,50
1316.2,51
1439.11,52
