powerInW,timeInMinutes
1060.18,0
885.81,1
911.94,2
936.86,3
933.82,4
922.67,5
939.09,6
984.53,7
767.07,8
860.54,9
958.1,10
943.21,11
1046.45,12
996.69,13
748.87,14
1182.73,15
877.15,16
1007.9,17
943.72,18
904.92,19
985.27,20
951.44,21
956.25,22
891.7,23
983.09,24
921.52,25
978.51,26
873.98,27
895.38,28
1012.08,29
1044.29,30
863.5,31
941.93,32
951.86,33
867.15,34
909.17,35
801.24,36
783.31,37
981.44,38
1078.98,39
791.87,40
832.97,41
809.52,42
805.84,43
803.24,44
992.67,45
752.16,46
881.92,47
1002.98,48
960.63,49
1063.1,50
785.95,51
926.6,52
902.35,53
722.37,54
848.27,55
1073.71,56
926.06,57
1077.29,58
1137.38,59
856.23,60
961.23,61
956.32,62
1038.74,63
1021.02,64
810.31,65
1018.62,66
992.17,67
907.67,68
