powerInW,timeInMinutes
95.44,0
118.98,1
110.7,2
117.66,3
103.12,4
118.19,5
118.22,6
85.47,7
105.59,8
114.74,9
125.21,10
102.81,11
111.36,12
112.34,13
124.62,14
97.49,15
115.86,16
122.96,17
147.21,18
120.61,19
116.63,20
98.61,21
112.19,22
104.33,23
104.79,24
120.67,25
112.29,26
117.62,27
114.4,28
136.13,29
99.33,30
90.3,31
115.7,32
100.81,33
87.9,34
101.11,35
119.52,36
106.5,37
113.2,38
102.76,39
122.38,40
121.35,41
114.17,42
103.19,43
114.61,44
109.72,45
106.26,46
130.74,47
111.87,48
108.92,49
107.05,50
102.0,51
122.94,52
90.22,53
120.38,54
109.32,55
107.56,56
111.7,57
104.87,58
131.0,59
121.03,60
111.9,61
103.52,62
99.46,63
121.45,64
96.61,65
108.05,66
123.32,67
116.68,68
125.51,69
125.89,70
126.45,71
111.17,72
118.3,73
117.44,74
102.19,75
109.05,76
101.68,77
122.85,78
108.46,79
104.86,80
127.1,81
105.91,82
123.32,83
121.99,84
117.33,85
110.14,86
128.91,87
105.82,88
109.53,89
88.67,90
130.28,91
119.25,92
100.06,93
118.45,94
96.87,95
116.03,96
106.69,97
102.19,98
105.93,99
98.22,100
108.22,101
117.55,102
91.88,103
119.7,104
114.54,105
119.71,106
119.05,107
127.88,108
115.39,109
114.86,110
100.49,111
117.88,112
115.31,113
109.91,114
132.58,115
114.77,116
106.8,117
96.47,118
109.15,119
101.27,120
108.84,121
114.65,122
107.02,123
105.52,124
100.66,125
123.34,126
104.08,127
92.05,128
98.81,129
114.31,130
