usage,source,fichier,durée_min
lights,LPG,lights_200min_cycle1.csv,200
lights,LPG,lights_10min_cycle2.csv,10
lights,LPG,lights_20min_cycle3.csv,20
lights,LPG,lights_20min_cycle4.csv,20
lights,LPG,lights_156min_cycle5.csv,156
lights,LPG,lights_144min_cycle6.csv,144
lights,LPG,lights_169min_cycle7.csv,169
lights,LPG,lights_58min_cycle8.csv,58
lights,LPG,lights_10min_cycle9.csv,10
lights,LPG,lights_10min_cycle10.csv,10
lights,LPG,lights_10min_cycle11.csv,10
lights,LPG,lights_183min_cycle12.csv,183
lights,LPG,lights_189min_cycle13.csv,189
lights,LPG,lights_215min_cycle14.csv,215
lights,LPG,lights_20min_cycle15.csv,20
lights,LPG,lights_137min_cycle16.csv,137
lights,LPG,lights_139min_cycle17.csv,139
lights,LPG,lights_245min_cycle18.csv,245
lights,LPG,lights_14min_cycle19.csv,14
lights,LPG,lights_10min_cycle20.csv,10
lights,LPG,lights_182min_cycle21.csv,182
lights,LPG,lights_171min_cycle22.csv,171
lights,LPG,lights_80min_cycle23.csv,80
lights,LPG,lights_30min_cycle24.csv,30
lights,LPG,lights_10min_cycle25.csv,10
lights,LPG,lights_10min_cycle26.csv,10
lights,LPG,lights_10min_cycle27.csv,10
lights,LPG,lights_40min_cycle28.csv,40
lights,LPG,lights_70min_cycle29.csv,70
lights,LPG,lights_201min_cycle30.csv,201
lights,LPG,lights_126min_cycle31.csv,126
lights,LPG,lights_30min_cycle32.csv,30
lights,LPG,lights_212min_cycle33.csv,212
lights,LPG,lights_34min_cycle34.csv,34
lights,LPG,lights_47min_cycle35.csv,47
lights,LPG,lights_100min_cycle36.csv,100
lights,LPG,lights_90min_cycle37.csv,90
lights,LPG,lights_20min_cycle38.csv,20
lights,LPG,lights_30min_cycle39.csv,30
lights,LPG,lights_281min_cycle40.csv,281
lights,LPG,lights_100min_cycle41.csv,100
lights,LPG,lights_59min_cycle42.csv,59
lights,LPG,lights_182min_cycle43.csv,182
lights,LPG,lights_70min_cycle44.csv,70
lights,LPG,lights_59min_cycle45.csv,59
lights,LPG,lights_10min_cycle46.csv,10
lights,LPG,lights_20min_cycle47.csv,20
lights,LPG,lights_80min_cycle48.csv,80
lights,LPG,lights_10min_cycle49.csv,10
lights,LPG,lights_230min_cycle50.csv,230
lights,LPG,lights_90min_cycle51.csv,90
lights,LPG,lights_146min_cycle52.csv,146
lights,LPG,lights_102min_cycle53.csv,102
lights,LPG,lights_186min_cycle54.csv,186
lights,LPG,lights_50min_cycle55.csv,50
lights,LPG,lights_255min_cycle56.csv,255
hob,SmartHouse,hob_14min_cycle1.csv,14
hob,SmartHouse,hob_7min_cycle2.csv,7
hob,SmartHouse,hob_14min_cycle3.csv,14
hob,SmartHouse,hob_9min_cycle4.csv,9
hob,SmartHouse,hob_30min_cycle5.csv,30
hob,SmartHouse,hob_4min_cycle6.csv,4
hob,SmartHouse,hob_26min_cycle7.csv,26
hob,SmartHouse,hob_21min_cycle8.csv,21
hob,SmartHouse,hob_11min_cycle9.csv,11
hob,SmartHouse,hob_7min_cycle10.csv,7
hob,SmartHouse,hob_16min_cycle11.csv,16
hob,SmartHouse,hob_21min_cycle12.csv,21
hob,SmartHouse,hob_27min_cycle13.csv,27
hob,SmartHouse,hob_36min_cycle14.csv,36
