powerInW,timeInMinutes
260.77,0
239.67,1
253.67,2
303.26,3
280.6,4
241.79,5
307.37,6
298.87,7
227.72,8
242.25,9
264.86,10
282.32,11
250.0,12
292.39,13
276.81,14
295.36,15
295.71,16
263.52,17
279.77,18
225.09,19
195.88,20
273.86,21
282.94,22
282.9,23
298.71,24
280.94,25
300.65,26
303.46,27
283.61,28
333.63,29
241.61,30
285.25,31
226.75,32
274.1,33
275.1,34
275.85,35
275.88,36
295.48,37
285.54,38
289.73,39
250.28,40
222.72,41
272.93,42
258.57,43
313.15,44
315.94,45
239.08,46
264.99,47
264.51,48
267.58,49
268.48,50
237.31,51
258.77,52
229.03,53
244.18,54
268.58,55
