powerInW,timeInMinutes
1272.38,0
1156.81,1
904.81,2
808.75,3
848.73,4
1001.28,5
1035.24,6
769.43,7
1024.87,8
1215.26,9
1087.64,10
1262.76,11
502.82,12
1242.64,13
1171.09,14
1128.7,15
533.18,16
1193.75,17
1330.6,18
1064.45,19
926.14,20
1017.78,21
1178.44,22
1151.96,23
885.94,24
546.22,25
1070.92,26
1106.2,27
1072.69,28
709.34,29
1115.03,30
1013.51,31
893.46,32
756.42,33
1040.08,34
982.16,35
1160.64,36
1041.3,37
85.08,38
1122.15,39
1011.51,40
1086.49,41
295.3,42
488.72,43
1030.2,44
1156.57,45
857.0,46
350.55,47
1145.15,48
1095.67,49
879.54,50
96.5,51
1101.0,52
1124.02,53
1153.84,54
404.86,55
505.53,56
1001.22,57
1019.56,58
318.2,59
837.76,60
1131.69,61
1134.38,62
530.32,63
313.74,64
1142.26,65
1152.52,66
832.32,67
338.82,68
1025.58,69
514.56,70
912.55,71
888.03,72
808.24,73
533.99,74
469.06,75
898.51,76
542.66,77
1231.62,78
401.59,79
1113.81,80
660.12,81
328.97,82
1122.51,83
1294.27,84
860.41,85
63.09,86
1312.43,87
981.55,88
614.91,89
594.44,90
1036.81,91
618.46,92
594.72,93
860.53,94
958.61,95
786.06,96
551.1,97
737.79,98
831.46,99
773.06,100
621.83,101
554.06,102
1293.46,103
752.66,104
564.87,105
1185.4,106
1052.17,107
73.57,108
767.58,109
1019.92,110
1100.7,111
140.93,112
862.96,113
994.17,114
568.64,115
967.71,116
1055.0,117
380.88,118
764.26,119
738.08,120
