timeInMinutes,powerInW
0,1581
1,1581
2,1581
3,1581
4,1581
5,1590
6,1598
7,1590
8,1590
9,1631
10,59
11,1590
12,1586
13,1586
14,60
15,1569
16,1569
17,1569
18,1569
19,1569
20,59
21,59
22,1582
23,1582
24,60
25,1597
26,1569
27,1569
28,1569
29,1581
30,1576
31,1576
32,60
33,60
34,1613
35,59
36,61
37,1595
38,1595
39,1573
40,1579
41,59
42,59
43,59
44,59
45,1598
46,1567
47,1569
48,1569
49,58
50,1563
51,58
52,1583
53,1583
54,1561
55,1589
56,1566
57,1564
58,1564
59,58
60,58
61,58
62,0
63,0
64,1626
65,1598
66,59
