powerInW,timeInMinutes
47.5,0
31.5,1
27.0,2
27.0,3
35.1,4
35.1,5
26.1,6
28.1,7
27.6,8
26.6,9
27.3,10
26.4,11
29.8,12
26.8,13
26.2,14
26.6,15
29.2,16
26.6,17
26.9,18
26.6,19
26.5,20
27.1,21
28.2,22
26.4,23
36.7,24
37.3,25
26.7,26
26.1,27
26.1,28
25.7,29
25.9,30
31.1,31
36.2,32
37.5,33
37.4,34
36.3,35
36.7,36
36.2,37
34.7,38
37.5,39
28.4,40
24.1,41
23.8,42
24.0,43
25.7,44
34.6,45
26.8,46
26.2,47
26.9,48
29.6,49
28.2,50
25.3,51
30.3,52
27.4,53
25.3,54
23.6,55
23.6,56
23.8,57
24.1,58
25.0,59
26.2,60
25.7,61
25.8,62
26.2,63
25.7,64
27.2,65
24.8,66
36.4,67
36.6,68
37.2,69
37.1,70
36.7,71
37.2,72
35.5,73
36.4,74
36.5,75
24.9,76
23.8,77
23.8,78
25.9,79
25.7,80
25.5,81
25.5,82
25.3,83
25.8,84
25.9,85
25.7,86
26.0,87
22.2,88
0.0,89
30.0,90
26.6,91
30.4,92
28.1,93
34.2,94
33.3,95
31.5,96
40.4,97
37.8,98
27.7,99
26.2,100
33.7,101
35.8,102
32.0,103
32.7,104
27.0,105
34.7,106
31.2,107
31.6,108
36.0,109
32.1,110
32.3,111
34.1,112
33.2,113
32.2,114
31.9,115
30.4,116
26.0,117
26.9,118
27.22,119
31.1,120
31.3,121
32.2,122
33.6,123
30.6,124
35.1,125
31.9,126
33.7,127
27.3,128
28.6,129
25.2,130
31.1,131
29.7,132
32.2,133
28.3,134
26.2,135
32.0,136
33.2,137
30.8,138
37.3,139
33.7,140
36.7,141
37.0,142
31.6,143
27.4,144
26.1,145
28.4,146
27.2,147
