powerInW,timeInMinutes
115.0,0
37.57,1
99.25,2
107.33,3
124.0,4
42.78,5
64.2,6
73.38,7
1451.22,8
1840.0,9
1799.75,10
1828.25,11
1839.86,12
1841.8,13
1821.14,14
1829.0,15
1852.86,16
1606.0,17
1834.43,18
1850.6,19
494.0,20
92.67,21
54.9,22
43.2,23
69.33,24
65.0,25
87.9,26
116.6,27
74.56,28
89.12,29
73.78,30
68.4,31
65.62,32
88.62,33
137.6,34
61.6,35
59.22,36
79.7,37
52.3,38
52.4,39
69.2,40
65.8,41
136.6,42
173.5,43
41.78,44
112.11,45
84.7,46
98.89,47
20.33,48
75.1,49
112.9,50
199.67,51
106.3,52
212.5,53
267.4,54
264.5,55
498.0,56
497.89,57
37.3,58
32.75,59
