powerInW,timeInMinutes
114.71,0
130.44,1
128.25,2
1666.33,3
2109.67,4
2107.11,5
2116.44,6
2118.0,7
2130.33,8
2102.89,9
2121.56,10
2130.44,11
2118.0,12
2111.22,13
2102.0,14
2090.78,15
2083.22,16
2101.56,17
2104.5,18
2096.33,19
352.67,20
131.0,21
130.3,22
129.56,23
129.56,24
129.62,25
129.56,26
129.6,27
130.22,28
130.44,29
131.0,30
130.22,31
129.38,32
129.44,33
130.56,34
131.67,35
130.44,36
129.89,37
135.11,38
64.38,39
23.0,40
109.89,41
130.33,42
129.11,43
129.44,44
130.0,45
130.11,46
55.67,47
44.67,48
67.78,49
1483.89,50
2146.78,51
2129.56,52
2143.33,53
2123.0,54
2122.44,55
2140.11,56
2134.0,57
2153.67,58
2139.56,59
2132.33,60
2140.75,61
2134.0,62
2116.44,63
2121.67,64
2135.44,65
2131.89,66
2126.67,67
2138.56,68
2153.5,69
2136.33,70
2138.0,71
1912.33,72
