powerInW,timeInMinutes
1343.17,0
2162.67,1
2430.91,2
2422.56,3
2448.7,4
2037.82,5
2479.33,6
1789.1,7
1543.1,8
1755.8,9
1150.64,10
1053.9,11
900.11,12
1491.1,13
1275.7,14
994.1,15
1696.2,16
1695.7,17
1260.0,18
1722.6,19
966.18,20
1402.0,21
1260.8,22
1254.5,23
968.36,24
1630.0,25
1346.27,26
1865.67,27
1479.7,28
1030.9,29
1291.1,30
1203.7,31
1285.3,32
845.1,33
703.56,34
1735.33,35
634.7,36
174.18,37
173.44,38
162.5,39
172.27,40
172.11,41
172.27,42
170.78,43
155.4,44
170.7,45
170.36,46
170.5,47
141.4,48
