powerInW,timeInMinutes
108.78,0
87.33,1
81.11,2
87.0,3
96.0,4
97.44,5
97.56,6
98.0,7
98.67,8
98.89,9
99.0,10
98.33,11
98.11,12
98.0,13
97.78,14
98.22,15
97.67,16
97.0,17
96.78,18
96.22,19
95.67,20
95.0,21
94.44,22
94.22,23
94.0,24
93.67,25
93.44,26
93.22,27
93.22,28
93.0,29
93.0,30
92.78,31
92.89,32
93.0,33
92.89,34
92.56,35
92.44,36
92.11,37
92.0,38
91.89,39
91.78,40
91.67,41
91.56,42
91.56,43
91.33,44
91.11,45
91.0,46
91.22,47
90.78,48
90.67,49
90.7,50
90.56,51
90.89,52
90.22,53
90.22,54
90.0,55
89.89,56
90.0,57
47.0,58
