powerInW,timeInMinutes
106.33,0
92.56,1
81.25,2
76.8,3
88.56,4
93.11,5
94.38,6
94.89,7
94.78,8
94.67,9
94.89,10
94.0,11
94.11,12
93.89,13
94.11,14
93.56,15
93.38,16
93.44,17
93.56,18
93.0,19
92.67,20
92.88,21
92.5,22
92.56,23
92.33,24
92.11,25
92.0,26
92.11,27
91.89,28
91.44,29
91.0,30
91.38,31
91.44,32
90.89,33
91.11,34
90.89,35
90.62,36
90.56,37
90.22,38
90.0,39
90.11,40
90.12,41
90.22,42
90.22,43
90.2,44
89.75,45
89.56,46
89.22,47
89.3,48
89.0,49
89.0,50
88.89,51
88.8,52
89.0,53
88.89,54
74.67,55
