powerInW,timeInMinutes
1323.17,0
2503.5,1
2474.29,2
2421.88,3
2387.71,4
1575.88,5
2406.71,6
2414.0,7
2405.14,8
1576.25,9
1697.29,10
2336.12,11
1415.29,12
1814.38,13
1300.14,14
2135.38,15
1727.29,16
1511.75,17
1734.29,18
992.38,19
2017.71,20
1519.38,21
1727.86,22
2367.25,23
1387.29,24
1728.43,25
1794.88,26
1678.29,27
1767.38,28
1592.0,29
1866.88,30
1775.29,31
1295.88,32
1425.0,33
1573.0,34
1453.43,35
1306.12,36
1776.0,37
1146.14,38
1889.25,39
1805.71,40
1662.75,41
1496.29,42
1320.0,43
1510.29,44
1224.33,45
181.57,46
181.86,47
155.62,48
180.0,49
177.75,50
174.71,51
175.38,52
154.86,53
173.38,54
174.29,55
173.25,56
107.71,57
