timeInMinutes,powerInW
0,4.2
1,11.1
2,93.1
3,4.2
4,10.8
5,359.0
6,400.2
7,306.5
8,272.5
9,12.2
10,12.1
11,304.6
12,382.7
13,2181.9
14,2181.9
15,2181.9
16,2181.9
17,2181.9
18,2181.9
19,2181.9
20,2181.9
21,2181.9
22,2181.9
23,2181.9
24,2181.9
25,2181.9
26,11.3
27,239.7
28,374.0
29,362.8
30,364.4
31,2053.2
32,286.3
33,390.9
34,389.9
35,287.1
36,225.1
37,270.9
38,229.3
39,224.0
40,237.4
41,305.7
42,4.4
43,6.6
44,240.1
45,224.5
46,377.9
47,406.8
48,392.2
49,388.5
50,389.3
51,51.8
52,264.3
53,337.8
54,282.4
55,266.8
56,277.5
57,326.6
58,326.6
59,12.4
60,5.5
61,7.8
62,396.1
63,404.5
64,399.1
65,394.5
66,399.8
67,395.4
68,260.3
69,12.6
70,104.5
71,269.5
72,285.7
73,12.6
74,7.6
75,401.3
76,22.7
77,91.0
78,137.9
79,166.3
80,4.5
81,10.7
82,10.7
83,336.4
84,292.6
85,14.0
86,443.7
87,261.5
88,20.9
89,189.4
90,289.5
91,371.0
92,18.1
93,11.6
94,11.6
95,307.4
96,10.1
97,212.2
98,412.1
99,273.0
100,20.6
101,337.3
102,154.3
103,395.9
104,18.1
105,18.4
106,3.8
107,13.8
108,422.1
109,431.4
110,13.9
111,41.3
112,450.3
113,260.1
114,14.1
115,20.3
116,72.4
117,158.5
118,121.4
119,288.2
120,288.2
121,379.2
122,538.7
123,538.7
124,17.9
125,3.6
126,3.4
