powerInW,timeInMinutes
94.11,0
122.11,1
115.49,2
123.76,3
97.6,4
122.79,5
109.94,6
113.15,7
111.94,8
89.13,9
122.45,10
120.04,11
118.31,12
100.21,13
97.09,14
111.27,15
105.35,16
121.91,17
125.31,18
87.83,19
100.75,20
70.2,21
111.83,22
106.66,23
117.34,24
92.26,25
98.78,26
109.72,27
118.66,28
124.23,29
106.05,30
115.02,31
95.42,32
124.37,33
111.0,34
114.68,35
123.22,36
102.33,37
121.22,38
122.65,39
118.72,40
114.01,41
94.66,42
100.81,43
125.99,44
103.93,45
107.32,46
99.08,47
90.2,48
115.22,49
109.34,50
102.94,51
124.9,52
90.47,53
96.53,54
119.68,55
107.22,56
110.86,57
113.11,58
120.48,59
110.71,60
111.76,61
112.33,62
111.43,63
117.8,64
106.94,65
108.96,66
112.27,67
101.46,68
108.11,69
99.17,70
130.99,71
112.79,72
98.09,73
108.42,74
104.02,75
132.31,76
98.76,77
93.65,78
93.59,79
110.26,80
93.58,81
117.49,82
110.8,83
119.61,84
88.29,85
107.46,86
120.24,87
116.07,88
119.49,89
