powerInW,timeInMinutes
26.46,0
25.52,1
24.09,2
25.67,3
25.38,4
25.16,5
25.97,6
26.68,7
27.56,8
26.9,9
27.55,10
25.47,11
26.34,12
25.78,13
26.72,14
24.57,15
26.92,16
24.28,17
25.43,18
24.07,19
25.49,20
28.35,21
23.5,22
25.32,23
26.43,24
26.64,25
26.89,26
25.11,27
25.64,28
27.6,29
22.75,30
25.46,31
27.55,32
24.42,33
26.62,34
28.43,35
26.01,36
25.05,37
23.88,38
26.92,39
27.59,40
25.53,41
26.55,42
26.33,43
28.41,44
25.29,45
24.82,46
25.99,47
26.24,48
24.95,49
24.7,50
26.11,51
26.33,52
26.23,53
27.69,54
24.19,55
26.42,56
27.66,57
28.4,58
27.22,59
25.03,60
25.69,61
26.15,62
24.24,63
25.1,64
